roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,fs_hz,mode,exposure_sec,n_windows
0.7542597201987865,0.07654084594796115,0.9789650813807395,0.007909340884256539,0.3172221445696171,0.13114003195454413,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,48000.0,ideal,,14960
0.7637882948206841,0.06570687792958048,0.9806696708114216,0.0054055658831308985,0.37157846080399304,0.09663332760092361,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,4000.0,ideal,,14960
0.7531167303293717,0.07710732907532782,0.9786705390698496,0.008043680949254799,0.30115186157305995,0.1295912720807173,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,2000.0,ideal,,14960
0.7619523662861631,0.06771693026353712,0.9804256743265652,0.0056724163904365915,0.34730646086867634,0.10964835269876345,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,1000.0,ideal,,14960
0.7030016664281392,0.09766786341496161,0.9712818740783646,0.01298676472289539,0.09094170036075552,0.018239880256482273,0.019738562091503268,0.01694563404601346,5,mafaulda,displacement,480.0,ideal,,14960
0.634555433312158,0.08276304807763091,0.9640091477712247,0.012679621213404414,0.08292922584472891,0.010574713893099672,0.020130718954248367,0.026124993242180344,5,mafaulda,displacement,240.0,ideal,,14960
0.6689889836054086,0.08830909595195056,0.9681619741196844,0.013492804886778337,0.09457272566025869,0.017048210785549217,0.029281045751633983,0.046214742984634266,5,mafaulda,displacement,120.0,ideal,,14960
0.5723597241917533,0.041408570434028735,0.9589451269023005,0.006578479886169428,0.2055083147919632,0.04941662257406007,0.024705882352941175,0.031237454229062947,5,mafaulda,displacement,60.0,ideal,,14960
0.7542655183223426,0.07656639854052345,0.9789657025205498,0.007919101214233152,0.3193664706241056,0.13046054791140932,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,4000.0,naive,,14960
0.7542978648599539,0.07653148332474514,0.9789746054398357,0.007918460368134123,0.3228093078315088,0.13127188385196453,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,2000.0,naive,,14960
0.7544538264378184,0.07646302078771276,0.9790058394883756,0.00791367938237481,0.3266642568838159,0.12759796171262938,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,1000.0,naive,,14960
0.7055169869098468,0.08316834407558904,0.9724394982345596,0.009461717457257015,0.13450983507723033,0.093693159428357,0.021045751633986927,0.02079931221896754,5,mafaulda,displacement,480.0,naive,,14960
0.6367105067442778,0.08455215786306096,0.9638293537913096,0.0125389769594594,0.08344458011129549,0.01189536550890506,0.021307189542483663,0.02611763397383985,5,mafaulda,displacement,240.0,naive,,14960
0.6474473254663133,0.07807039530951206,0.9644252535387835,0.012451497021759681,0.08054075304359395,0.03493726965193829,0.025098039215686273,0.031231299671968624,5,mafaulda,displacement,120.0,naive,,14960
0.5992799686742594,0.04608000755367986,0.9611929166346019,0.005246126643565393,0.16810891162649622,0.0459692757972449,0.023529411764705882,0.02597576725390543,5,mafaulda,displacement,60.0,naive,,14960
0.7541968605948957,0.07657134331728267,0.9789629502410332,0.007892684307315401,0.3171015444211913,0.13044050708249394,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,4000.0,boxcar,0.0041666667,14960
0.7538318887417953,0.0767343849172402,0.9789406758634458,0.007835498467149617,0.31195127228564384,0.12772194395534042,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,2000.0,boxcar,0.0041666667,14960
0.7580987606595522,0.0713357972206104,0.9799702256184417,0.006267670156937708,0.30844637437880446,0.13212446033348102,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,1000.0,boxcar,0.0041666667,14960
0.7034886567746241,0.07757832905258541,0.9731434576045102,0.009380950559581644,0.08563534185047621,0.016682600712045876,0.021045751633986927,0.019511747092334945,5,mafaulda,displacement,480.0,boxcar,0.0041666667,14960
0.6516950442530633,0.07270837470787654,0.967315752858747,0.010081283540238626,0.07890618040812149,0.010264895895523323,0.021176470588235293,0.02300894966542111,5,mafaulda,displacement,240.0,boxcar,0.0041666667,14960
0.6563495141438784,0.07698874327100226,0.9664421602275552,0.012035150690606967,0.08546177326091324,0.03236560348185772,0.026666666666666665,0.04086248165208066,5,mafaulda,displacement,120.0,boxcar,0.0041666667,14960
0.6036138312712559,0.04321327424022513,0.9619464627925147,0.004754704346144497,0.20404437815449858,0.03296485422919148,0.024836601307189544,0.03172123764018236,5,mafaulda,displacement,60.0,boxcar,0.0041666667,14960
