roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,fs_hz,mode,label
0.7156643032446341,0.1588123393496068,0.8825727493164397,0.07348282851329471,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,48000.0,ideal,ball
0.7451142113304275,0.08375868303229649,0.8993802448093463,0.03934689692469422,0.3550104237097138,0.09699552982657261,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,48000.0,ideal,inner_race
0.765253225705184,0.05515668870089116,0.9564971352462285,0.017536147273129063,0.44727252718425453,0.05471320479758377,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,48000.0,ideal,outer_race
0.7157251749271275,0.15877203469234713,0.8825869063305967,0.07347344997640667,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,ideal,ball
0.7452968263779074,0.08393752789024954,0.8993783044505606,0.03940641902915315,0.3550104237097138,0.09699552982657261,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,ideal,inner_race
0.7650385969264658,0.054953775387537374,0.9564342529355666,0.01749763040458496,0.44727252718425453,0.05471320479758377,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,ideal,outer_race
0.7158201615086005,0.15841287201918516,0.8825902942997987,0.07336110583988589,0.3513428600611653,0.1815842667323455,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,ideal,ball
0.7457952796784275,0.08405959636197965,0.8994312027043618,0.03962880622936227,0.3550104237097138,0.09699552982657261,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,ideal,inner_race
0.7647677806633827,0.054846756274526454,0.9563561252298919,0.01751569682255994,0.4446419574013819,0.0523624329144767,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,ideal,outer_race
0.7154912930400514,0.15823357423674736,0.8824566078992152,0.07325462573267902,0.3513428600611653,0.1815842667323455,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,1000.0,ideal,ball
0.7450650998445116,0.08237114492368444,0.8987659397292276,0.038807783718959904,0.34960892865304627,0.08990053068209662,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,1000.0,ideal,inner_race
