roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,fs_hz,mode,label
0.6217318930588827,0.09752195935290722,0.8595557749352313,0.04177473371038455,0.1160212182484646,0.05442099137902412,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,48000.0,ideal,horizontal_misalignment
0.8894021086764979,0.04538887951557828,0.9762750751810124,0.011969169536070677,0.5280876050359479,0.2514641084382718,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,48000.0,ideal,imbalance
0.69164082540763,0.1045889478947876,0.9213686836896503,0.028742086405431886,0.12038327238964834,0.03242106012072097,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,48000.0,ideal,vertical_misalignment
0.6314845522925108,0.08751589725586686,0.8635742411811625,0.035778680912807066,0.115477836948469,0.05382844012757815,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,4000.0,ideal,horizontal_misalignment
0.9081674584680316,0.0326819472532065,0.9816430803546041,0.007645874906105205,0.6321165488013298,0.1740210981265275,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,4000.0,ideal,imbalance
0.690862879556623,0.10436580798190616,0.9219255079093749,0.02723655837970278,0.12483987514288723,0.03272023676847401,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,4000.0,ideal,vertical_misalignment
0.6213020090892064,0.09741973726221068,0.8591015913966185,0.0415724413552116,0.11450251275446455,0.052803060333187685,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,2000.0,ideal,horizontal_misalignment
0.8876031937060702,0.04684838105728808,0.9753830342653931,0.012565899383820625,0.4999144621739838,0.25275106645256157,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,2000.0,ideal,imbalance
0.6907563253309468,0.10463339643007914,0.9209816075923744,0.028642644076456492,0.116969725342945,0.03146543114807678,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,2000.0,ideal,vertical_misalignment
0.6268432801979514,0.0891591243103836,0.86116217117589,0.037017709522712064,0.10916252007739528,0.05324471189622896,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,1000.0,ideal,horizontal_misalignment
0.9066009646291627,0.03310649400770246,0.9812262977287547,0.007832251578588287,0.5899871941679168,0.19602198498441187,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,1000.0,ideal,imbalance
0.6905644424275657,0.10732926186703952,0.9216491529275516,0.028492960548260872,0.12417721020860994,0.03149660993707052,0.019869281045751634,0.019501892397476354,5,mafaulda,displacement,1000.0,ideal,vertical_misalignment
0.5585163201529983,0.10824957139382185,0.8329064635222508,0.05358773536413372,0.09088023231380074,0.0405900465175151,0.019738562091503268,0.01694563404601346,5,mafaulda,displacement,480.0,ideal,horizontal_misalignment
0.8311925865760499,0.06915130925204045,0.9574433462635203,0.02430481988763081,0.09491042683241283,0.007593676105004567,0.019738562091503268,0.01694563404601346,5,mafaulda,displacement,480.0,ideal,imbalance
0.6557879336026706,0.1300548463297665,0.9083359257587429,0.04772856669522495,0.0854032779846295,0.037937488269607654,0.019738562091503268,0.01694563404601346,5,mafaulda,displacement,480.0,ideal,vertical_misalignment
0.49428790701801084,0.07828906320517857,0.8051667253317966,0.04250401815850273,0.08582898393737418,0.04833267840406433,0.020130718954248367,0.026124993242180344,5,mafaulda,displacement,240.0,ideal,horizontal_misalignment
0.7881151614963524,0.0649981872702838,0.9476647464273311,0.024305270293344197,0.09040985308828903,0.014744979338373114,0.020130718954248367,0.026124993242180344,5,mafaulda,displacement,240.0,ideal,imbalance
0.5565272604273681,0.1165377208544653,0.8783332063147039,0.04577935483287879,0.0712419784855196,0.0325114266761754,0.020130718954248367,0.026124993242180344,5,mafaulda,displacement,240.0,ideal,vertical_misalignment
0.5253365717327656,0.08157237226196817,0.8101671562268399,0.047636540425484146,0.07117186983019305,0.056964443030992414,0.029281045751633983,0.046214742984634266,5,mafaulda,displacement,120.0,ideal,horizontal_misalignment
0.835599928427486,0.08164333678458169,0.9608424151185233,0.02830912985282605,0.14232614947181252,0.035790443905594875,0.029281045751633983,0.046214742984634266,5,mafaulda,displacement,120.0,ideal,imbalance
0.5787488733841335,0.10562248342454165,0.881247558834373,0.04130931496243485,0.05209646980082862,0.04146810041375322,0.029281045751633983,0.046214742984634266,5,mafaulda,displacement,120.0,ideal,vertical_misalignment
0.5175898076676624,0.043643948053437666,0.8070091988302119,0.026878582482705672,0.06344338706484202,0.055358362593028156,0.024705882352941175,0.031237454229062947,5,mafaulda,displacement,60.0,ideal,horizontal_misalignment
0.6418702944680323,0.03870557547160903,0.93140620478914,0.011058903818965356,0.40158723992515427,0.07459975857067017,0.024705882352941175,0.031237454229062947,5,mafaulda,displacement,60.0,ideal,imbalance
0.5314187754604681,0.04863805670766055,0.8558589754766623,0.02486534995434271,0.02954456563519104,0.008255633434382207,0.024705882352941175,0.031237454229062947,5,mafaulda,displacement,60.0,ideal,vertical_misalignment
0.6217483462967892,0.09753494199818168,0.8595820442870759,0.041802134339638294,0.11704044716779212,0.05458444144012998,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,4000.0,naive,horizontal_misalignment
0.8893963825276122,0.04545842193182449,0.9762700839954697,0.012003933265889638,0.5315528221722221,0.24912355046311463,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,4000.0,naive,imbalance
0.6916526682675641,0.10459789481422642,0.9213737944090654,0.028744524794526043,0.12138109611237398,0.03267259743583952,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,4000.0,naive,vertical_misalignment
0.6217066808623902,0.09747575799735897,0.8595570966592712,0.04176349989563655,0.1175632649295711,0.05470049514299004,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,2000.0,naive,horizontal_misalignment
0.8894626288361763,0.04551712338467482,0.9762934127559888,0.01202500850410138,0.5370676648054887,0.25030281611278016,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,2000.0,naive,imbalance
0.6916954996291885,0.10449513959468722,0.9214021379235289,0.02871355090207213,0.12240945365750686,0.032564714395665405,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,2000.0,naive,vertical_misalignment
0.621330203373456,0.09755345975127336,0.8592926293078567,0.04192419899468578,0.1169892376278103,0.05535203075031777,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,1000.0,naive,horizontal_misalignment
0.889637195519032,0.045223828028795154,0.9763508189194008,0.011974380842893593,0.5440778403849498,0.24438676595569114,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,1000.0,naive,imbalance
0.6921801808047766,0.10460482927264479,0.9216183957139984,0.028803074625912715,0.12446626365373925,0.03222598483507687,0.01869281045751634,0.019843895031471968,5,mafaulda,displacement,1000.0,naive,vertical_misalignment
0.5709840298110194,0.10261358596611568,0.8353584050876812,0.04441181442224583,0.09012901840028106,0.04856537317525363,0.021045751633986927,0.02079931221896754,5,mafaulda,displacement,480.0,naive,horizontal_misalignment
0.840501014552556,0.06712494780324335,0.9608920669950329,0.02147102924868634,0.17872553129198687,0.17935020896789405,0.021045751633986927,0.02079931221896754,5,mafaulda,displacement,480.0,naive,imbalance
0.6442967605985928,0.10019626005561551,0.9084438332301135,0.02889577637933825,0.10270207053897099,0.02969369531273738,0.021045751633986927,0.02079931221896754,5,mafaulda,displacement,480.0,naive,vertical_misalignment
0.49637022249825014,0.09029917957518234,0.8057649009909331,0.046359627992648575,0.08415978000933104,0.04848936333238509,0.021307189542483663,0.02611763397383985,5,mafaulda,displacement,240.0,naive,horizontal_misalignment
0.7809393336000784,0.06851174861668212,0.9451716731629171,0.025416396556362856,0.09163274977482885,0.01892483947054189,0.021307189542483663,0.02611763397383985,5,mafaulda,displacement,240.0,naive,imbalance
0.5690220533086265,0.11445159894928014,0.8814127460290837,0.044856245821218346,0.072489886764232,0.02721060453933154,0.021307189542483663,0.02611763397383985,5,mafaulda,displacement,240.0,naive,vertical_misalignment
0.5117263971450823,0.07413974942877019,0.8011890117060745,0.04031608536509121,0.07062752229946825,0.057440333598196995,0.025098039215686273,0.031231299671968624,5,mafaulda,displacement,120.0,naive,horizontal_misalignment
0.8127071468702415,0.07155118201248085,0.9533375590061155,0.026395245377212207,0.11158828907233401,0.06445264913899608,0.025098039215686273,0.031231299671968624,5,mafaulda,displacement,120.0,naive,imbalance
0.553442072510993,0.09162366727416461,0.8680738037935113,0.03838903038683084,0.048688827857054556,0.036490554110272085,0.025098039215686273,0.031231299671968624,5,mafaulda,displacement,120.0,naive,vertical_misalignment
