roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,fs_hz,mode,exposure_sec,n_windows
0.749683926518258,0.06254164793514733,0.9740211540004486,0.010442197195462646,0.40960998130150394,0.016086889344155076,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,48000.0,ideal,,1737
0.7496236632483156,0.06239567138639321,0.9740047230457185,0.010424259778758334,0.40960998130150394,0.016086889344155076,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,ideal,,1737
0.7495937674638185,0.06238391033579789,0.9739859963678141,0.010427605049514859,0.4074265730765483,0.016881244121192903,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,ideal,,1737
0.7487107204395618,0.063046501883795,0.9737707058024476,0.010574085108838527,0.40214604691900613,0.021066502755493204,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,1000.0,ideal,,1737
0.7494926959183557,0.0664249942095397,0.9739188341406682,0.010683599176724907,0.41279383259483116,0.023935225048198214,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,480.0,ideal,,1737
0.7578910876615115,0.061562285737047834,0.9747049757102842,0.010104106751517171,0.42286763477629885,0.02683595510050639,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,240.0,ideal,,1737
0.7267050834858515,0.05276748133261711,0.9721774861803345,0.010543042704702429,0.44670592889322525,0.05570817356970401,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,120.0,ideal,,1737
0.5970107397578823,0.04703875447816605,0.9503174679181214,0.01707952345953285,0.1902911384490332,0.09210655100852637,0.05405405405405406,0.10810810810810811,4,cwru_48k,displacement,60.0,ideal,,1739
0.7494485243764424,0.06222580287672358,0.9739951444760881,0.010431140463194101,0.4093315299196965,0.014552652906718281,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,naive,,1737
0.7496283688646193,0.0628628820419149,0.9739945357492464,0.01048094438122423,0.40960998130150394,0.016086889344155076,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,naive,,1737
0.7329900427533211,0.08277386703422221,0.9717971565400917,0.012926673178971008,0.4360020148844719,0.0529757211740445,0.033783783783783786,0.06756756756756757,4,cwru_48k,displacement,1000.0,naive,,1737
0.6945701605558163,0.09084246401958541,0.9681533676625336,0.014373892482546273,0.471151330010899,0.05837071696531422,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,480.0,naive,,1737
0.6469289391955522,0.23664421600021257,0.9578479502582253,0.03965886209729191,0.44097826963355946,0.017362045246874323,0.14864864864864866,0.2972972972972973,4,cwru_48k,displacement,240.0,naive,,1737
0.7330745420364293,0.08339056230880809,0.971908049559395,0.013926341107941801,0.43561036866672903,0.06194623180144046,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,120.0,naive,,1737
0.6113859183924365,0.0734578942036231,0.9541230864248204,0.018758506385606517,0.28258221159362634,0.06637066686793222,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,60.0,naive,,1739
0.749608187379032,0.06269441365189092,0.9739904993419937,0.010450382915411468,0.40672235211319896,0.017038431152317384,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,boxcar,0.0041666667,1737
0.7490303146528521,0.062218377185265836,0.9739289389458575,0.010431125682371947,0.4051483631426107,0.018745337072412608,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,boxcar,0.0041666667,1737
0.7480797368099672,0.0640837911679116,0.9737330372475308,0.01063293915958339,0.4045688607909481,0.022475891639702598,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,1000.0,boxcar,0.0041666667,1737
0.738557460217752,0.05637587605322573,0.9730112777454959,0.010064281459967765,0.4252343025242499,0.024766926104238824,0.02821939586645469,0.03264307563054593,4,cwru_48k,displacement,480.0,boxcar,0.0041666667,1737
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,displacement,240.0,boxcar,0.0041666667,1737
0.7236327041744743,0.05110974326588401,0.970846481727967,0.01112444657984918,0.3893160239656738,0.03786071084898339,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,120.0,boxcar,0.0041666667,1737
0.6214440744957465,0.06714154063665144,0.9548753637567302,0.017747455738746577,0.30011734778352195,0.07390084145740851,0.048489666136724965,0.06407475184564712,4,cwru_48k,displacement,60.0,boxcar,0.0041666667,1739
