model,pca,features,criterion,n_cols,level,seed,fold
pca_recon,3,machine,4.583939,26,clip,45,S1
pca_recon,3,primary,3.600056,13,clip,45,S1
pca_recon,3,orderband,3.889237,27,clip,45,S1
pca_recon,5,all,5.815755,39,clip,45,S1
pca_recon,5,machine,5.427472,26,clip,45,S1
pca_recon,5,primary,7.761227,13,clip,45,S1
pca_recon,5,orderband,9.631713,27,clip,45,S1
pca_recon,8,all,3512287116810832.0,39,clip,45,S1
pca_recon,8,machine,1177532706940760.8,26,clip,45,S1
pca_recon,8,primary,632726856003247.1,13,clip,45,S1
pca_recon,8,orderband,1124741214291543.6,27,clip,45,S1
pca_recon,auto,all,10.223148,39,clip,45,S1
pca_recon,auto,machine,8.129381,26,clip,45,S1
pca_recon,auto,primary,6.596597,13,clip,45,S1
pca_recon,auto,orderband,6.78785,27,clip,45,S1
mahalanobis,3,all,1.93442,39,clip,45,S2
mahalanobis,3,machine,2.200885,26,clip,45,S2
mahalanobis,3,primary,1.69353,13,clip,45,S2
mahalanobis,3,orderband,3.933212,27,clip,45,S2
mahalanobis,5,all,2.67206,39,clip,45,S2
mahalanobis,5,machine,3.648046,26,clip,45,S2
mahalanobis,5,primary,7.377212,13,clip,45,S2
mahalanobis,5,orderband,3.594673,27,clip,45,S2
mahalanobis,8,all,6826837346040.255,39,clip,45,S2
mahalanobis,8,machine,3728091589023.14,26,clip,45,S2
mahalanobis,8,primary,438589878573.5472,13,clip,45,S2
mahalanobis,8,orderband,5322292524328.332,27,clip,45,S2
mahalanobis,auto,all,5.55545,39,clip,45,S2
mahalanobis,auto,machine,7.69225,26,clip,45,S2
mahalanobis,auto,primary,7.377212,13,clip,45,S2
mahalanobis,auto,orderband,6.249992,27,clip,45,S2
isolation_forest,auto,all,1.336367,39,clip,45,S2
isolation_forest,auto,machine,1.402842,26,clip,45,S2
isolation_forest,auto,primary,0.654275,13,clip,45,S2
isolation_forest,auto,orderband,1.222362,27,clip,45,S2
ocsvm,auto,all,347.38947,39,clip,45,S2
ocsvm,auto,machine,221.62215,26,clip,45,S2
ocsvm,auto,primary,128.053663,13,clip,45,S2
ocsvm,auto,orderband,348.089408,27,clip,45,S2
pca_recon,3,all,6.73132,39,clip,45,S2
pca_recon,3,machine,4.890987,26,clip,45,S2
pca_recon,3,primary,4.295188,13,clip,45,S2
pca_recon,3,orderband,4.754005,27,clip,45,S2
pca_recon,5,all,7.88411,39,clip,45,S2
pca_recon,5,machine,8.069754,26,clip,45,S2
pca_recon,5,primary,6.89083,13,clip,45,S2
pca_recon,5,orderband,11.812042,27,clip,45,S2
pca_recon,8,all,5286492888000941.0,39,clip,45,S2
pca_recon,8,machine,1051217917064061.4,26,clip,45,S2
pca_recon,8,primary,729215620375585.4,13,clip,45,S2
pca_recon,8,orderband,715869235691874.0,27,clip,45,S2
pca_recon,auto,all,9.891514,39,clip,45,S2
pca_recon,auto,machine,10.420167,26,clip,45,S2
pca_recon,auto,primary,6.89083,13,clip,45,S2
pca_recon,auto,orderband,5.791645,27,clip,45,S2
mahalanobis,3,all,1.733236,39,clip,45,S3
mahalanobis,3,machine,1.482178,26,clip,45,S3
mahalanobis,3,primary,2.363056,13,clip,45,S3
mahalanobis,3,orderband,1.911904,27,clip,45,S3
mahalanobis,5,all,3.103547,39,clip,45,S3
mahalanobis,5,machine,3.903499,26,clip,45,S3
mahalanobis,5,primary,4.313807,13,clip,45,S3
mahalanobis,5,orderband,2.778573,27,clip,45,S3
mahalanobis,8,all,14.348125,39,clip,45,S3
mahalanobis,8,machine,27.301299,26,clip,45,S3
mahalanobis,8,primary,155.158468,13,clip,45,S3
mahalanobis,8,orderband,72.04234,27,clip,45,S3
mahalanobis,auto,all,7.977846,39,clip,45,S3
mahalanobis,auto,machine,8.846708,26,clip,45,S3
mahalanobis,auto,primary,4.313807,13,clip,45,S3
mahalanobis,auto,orderband,5.001234,27,clip,45,S3
isolation_forest,auto,all,1.230356,39,clip,45,S3
isolation_forest,auto,machine,1.005531,26,clip,45,S3
isolation_forest,auto,primary,0.643624,13,clip,45,S3
isolation_forest,auto,orderband,1.198988,27,clip,45,S3
ocsvm,auto,all,273.664284,39,clip,45,S3
ocsvm,auto,machine,263.310919,26,clip,45,S3
ocsvm,auto,primary,160.294473,13,clip,45,S3
ocsvm,auto,orderband,713.600907,27,clip,45,S3
pca_recon,3,all,5.913724,39,clip,45,S3
pca_recon,3,machine,6.18896,26,clip,45,S3
pca_recon,3,primary,4.211472,13,clip,45,S3
pca_recon,3,orderband,3.775107,27,clip,45,S3
pca_recon,5,all,8.371802,39,clip,45,S3
pca_recon,5,machine,7.518871,26,clip,45,S3
pca_recon,5,primary,5.319072,13,clip,45,S3
pca_recon,5,orderband,5.56361,27,clip,45,S3
pca_recon,8,all,10.353893,39,clip,45,S3
pca_recon,8,machine,14.222166,26,clip,45,S3
pca_recon,8,primary,8.462899,13,clip,45,S3
pca_recon,8,orderband,7.293461,27,clip,45,S3
pca_recon,auto,all,11.912282,39,clip,45,S3
pca_recon,auto,machine,8.105322,26,clip,45,S3
pca_recon,auto,primary,5.319072,13,clip,45,S3
pca_recon,auto,orderband,5.78932,27,clip,45,S3
mahalanobis,3,all,1.578164,39,clip,45,S4
mahalanobis,3,machine,1.788796,26,clip,45,S4
mahalanobis,3,primary,1.187284,13,clip,45,S4
mahalanobis,3,orderband,3.554946,27,clip,45,S4
mahalanobis,5,all,2.919498,39,clip,45,S4
mahalanobis,5,machine,3.740546,26,clip,45,S4
mahalanobis,5,primary,8.336969,13,clip,45,S4
mahalanobis,5,orderband,5.753186,27,clip,45,S4
mahalanobis,8,all,3065823100303.6816,39,clip,45,S4
mahalanobis,8,machine,2446622571502.348,26,clip,45,S4
mahalanobis,8,primary,1940451619685.7048,13,clip,45,S4
mahalanobis,8,orderband,1737372866467.5266,27,clip,45,S4
mahalanobis,auto,all,3.758585,39,clip,45,S4
mahalanobis,auto,machine,6.223098,26,clip,45,S4
mahalanobis,auto,primary,5.048388,13,clip,45,S4
mahalanobis,auto,orderband,7.104979,27,clip,45,S4
isolation_forest,auto,all,1.44043,39,clip,45,S4
isolation_forest,auto,machine,1.093712,26,clip,45,S4
isolation_forest,auto,primary,0.483856,13,clip,45,S4
isolation_forest,auto,orderband,1.048655,27,clip,45,S4
ocsvm,auto,all,254.811563,39,clip,45,S4
ocsvm,auto,machine,256.539602,26,clip,45,S4
ocsvm,auto,primary,167.132823,13,clip,45,S4
ocsvm,auto,orderband,366.432189,27,clip,45,S4
pca_recon,3,all,5.043892,39,clip,45,S4
pca_recon,3,machine,7.80792,26,clip,45,S4
pca_recon,3,primary,4.634071,13,clip,45,S4
pca_recon,3,orderband,3.428405,27,clip,45,S4
pca_recon,5,all,5.879072,39,clip,45,S4
pca_recon,5,machine,5.23411,26,clip,45,S4
pca_recon,5,primary,11.578042,13,clip,45,S4
pca_recon,5,orderband,4.00796,27,clip,45,S4
pca_recon,8,all,1537963019271737.2,39,clip,45,S4
pca_recon,8,machine,1531254203307693.0,26,clip,45,S4
pca_recon,8,primary,998470597450223.4,13,clip,45,S4
pca_recon,8,orderband,1384512541362813.2,27,clip,45,S4
pca_recon,auto,all,13.869644,39,clip,45,S4
pca_recon,auto,machine,8.940752,26,clip,45,S4
pca_recon,auto,primary,6.28295,13,clip,45,S4
pca_recon,auto,orderband,7.435582,27,clip,45,S4
mahalanobis,3,all,1.161582,39,clip,46,S1
mahalanobis,3,machine,0.952167,26,clip,46,S1
mahalanobis,3,primary,1.249959,13,clip,46,S1
mahalanobis,3,orderband,1.541584,27,clip,46,S1
mahalanobis,5,all,1.633507,39,clip,46,S1
mahalanobis,5,machine,2.110764,26,clip,46,S1
mahalanobis,5,primary,3.231898,13,clip,46,S1
mahalanobis,5,orderband,1.492031,27,clip,46,S1
mahalanobis,8,all,2093142984198.6882,39,clip,46,S1
mahalanobis,8,machine,1577621105090.712,26,clip,46,S1
mahalanobis,8,primary,495648042645.4577,13,clip,46,S1
mahalanobis,8,orderband,1580638805717.2058,27,clip,46,S1
mahalanobis,auto,all,1.948761,39,clip,46,S1
mahalanobis,auto,machine,5.734967,26,clip,46,S1
mahalanobis,auto,primary,3.067375,13,clip,46,S1
mahalanobis,auto,orderband,2.328049,27,clip,46,S1
isolation_forest,auto,all,0.868711,39,clip,46,S1
isolation_forest,auto,machine,1.317134,26,clip,46,S1
isolation_forest,auto,primary,0.598378,13,clip,46,S1
isolation_forest,auto,orderband,1.03031,27,clip,46,S1
ocsvm,auto,all,232.660914,39,clip,46,S1
ocsvm,auto,machine,226.590945,26,clip,46,S1
ocsvm,auto,primary,208.557898,13,clip,46,S1
ocsvm,auto,orderband,567.470165,27,clip,46,S1
pca_recon,3,all,3.931664,39,clip,46,S1
pca_recon,3,machine,4.583939,26,clip,46,S1
pca_recon,3,primary,3.600056,13,clip,46,S1
pca_recon,3,orderband,3.889237,27,clip,46,S1
pca_recon,5,all,5.815755,39,clip,46,S1
pca_recon,5,machine,5.427472,26,clip,46,S1
pca_recon,5,primary,7.761227,13,clip,46,S1
pca_recon,5,orderband,9.631713,27,clip,46,S1
pca_recon,8,all,3512287116810832.0,39,clip,46,S1
pca_recon,8,machine,1177532706940760.8,26,clip,46,S1
pca_recon,8,primary,632726856003247.1,13,clip,46,S1
pca_recon,8,orderband,1124741214291543.6,27,clip,46,S1
pca_recon,auto,all,10.223148,39,clip,46,S1
pca_recon,auto,machine,8.129381,26,clip,46,S1
pca_recon,auto,primary,6.596597,13,clip,46,S1
pca_recon,auto,orderband,6.78785,27,clip,46,S1
mahalanobis,3,all,1.93442,39,clip,46,S2
mahalanobis,3,machine,2.200885,26,clip,46,S2
mahalanobis,3,primary,1.69353,13,clip,46,S2
mahalanobis,3,orderband,3.933212,27,clip,46,S2
mahalanobis,5,all,2.67206,39,clip,46,S2
mahalanobis,5,machine,3.648046,26,clip,46,S2
mahalanobis,5,primary,7.377212,13,clip,46,S2
mahalanobis,5,orderband,3.594673,27,clip,46,S2
mahalanobis,8,all,6826837346040.255,39,clip,46,S2
mahalanobis,8,machine,3728091589023.14,26,clip,46,S2
mahalanobis,8,primary,438589878573.5472,13,clip,46,S2
mahalanobis,8,orderband,5322292524328.332,27,clip,46,S2
mahalanobis,auto,all,5.55545,39,clip,46,S2
mahalanobis,auto,machine,7.69225,26,clip,46,S2
mahalanobis,auto,primary,7.377212,13,clip,46,S2
mahalanobis,auto,orderband,6.249992,27,clip,46,S2
isolation_forest,auto,all,1.281522,39,clip,46,S2
isolation_forest,auto,machine,1.791835,26,clip,46,S2
isolation_forest,auto,primary,0.713577,13,clip,46,S2
isolation_forest,auto,orderband,1.248192,27,clip,46,S2
ocsvm,auto,all,347.38947,39,clip,46,S2
ocsvm,auto,machine,221.62215,26,clip,46,S2
ocsvm,auto,primary,128.053663,13,clip,46,S2
ocsvm,auto,orderband,348.089408,27,clip,46,S2
pca_recon,3,all,6.73132,39,clip,46,S2
pca_recon,3,machine,4.890987,26,clip,46,S2
pca_recon,3,primary,4.295188,13,clip,46,S2
pca_recon,3,orderband,4.754005,27,clip,46,S2
pca_recon,5,all,7.88411,39,clip,46,S2
pca_recon,5,machine,8.069754,26,clip,46,S2
pca_recon,5,primary,6.89083,13,clip,46,S2
pca_recon,5,orderband,11.812042,27,clip,46,S2
pca_recon,8,all,5286492888000941.0,39,clip,46,S2
pca_recon,8,machine,1051217917064061.4,26,clip,46,S2
pca_recon,8,primary,729215620375585.4,13,clip,46,S2
pca_recon,8,orderband,715869235691874.0,27,clip,46,S2
pca_recon,auto,all,9.891514,39,clip,46,S2
pca_recon,auto,machine,10.420167,26,clip,46,S2
pca_recon,auto,primary,6.89083,13,clip,46,S2
pca_recon,auto,orderband,5.791645,27,clip,46,S2
mahalanobis,3,all,1.733236,39,clip,46,S3
mahalanobis,3,machine,1.482178,26,clip,46,S3
mahalanobis,3,primary,2.363056,13,clip,46,S3
mahalanobis,3,orderband,1.911904,27,clip,46,S3
mahalanobis,5,all,3.103547,39,clip,46,S3
mahalanobis,5,machine,3.903499,26,clip,46,S3
mahalanobis,5,primary,4.313807,13,clip,46,S3
mahalanobis,5,orderband,2.778573,27,clip,46,S3
mahalanobis,8,all,14.348125,39,clip,46,S3
mahalanobis,8,machine,27.301299,26,clip,46,S3
mahalanobis,8,primary,155.158468,13,clip,46,S3
mahalanobis,8,orderband,72.04234,27,clip,46,S3
mahalanobis,auto,all,7.977846,39,clip,46,S3
mahalanobis,auto,machine,8.846708,26,clip,46,S3
mahalanobis,auto,primary,4.313807,13,clip,46,S3
mahalanobis,auto,orderband,5.001234,27,clip,46,S3
isolation_forest,auto,all,1.201528,39,clip,46,S3
isolation_forest,auto,machine,0.965377,26,clip,46,S3
isolation_forest,auto,primary,0.595566,13,clip,46,S3
isolation_forest,auto,orderband,1.203518,27,clip,46,S3
ocsvm,auto,all,273.664284,39,clip,46,S3
ocsvm,auto,machine,263.310919,26,clip,46,S3
ocsvm,auto,primary,160.294473,13,clip,46,S3
ocsvm,auto,orderband,713.600907,27,clip,46,S3
pca_recon,3,all,5.913724,39,clip,46,S3
pca_recon,3,machine,6.18896,26,clip,46,S3
pca_recon,3,primary,4.211472,13,clip,46,S3
pca_recon,3,orderband,3.775107,27,clip,46,S3
pca_recon,5,all,8.371802,39,clip,46,S3
pca_recon,5,machine,7.518871,26,clip,46,S3
pca_recon,5,primary,5.319072,13,clip,46,S3
pca_recon,5,orderband,5.56361,27,clip,46,S3
pca_recon,8,all,10.353893,39,clip,46,S3
pca_recon,8,machine,14.222166,26,clip,46,S3
pca_recon,8,primary,8.462899,13,clip,46,S3
pca_recon,8,orderband,7.293461,27,clip,46,S3
pca_recon,auto,all,11.912282,39,clip,46,S3
pca_recon,auto,machine,8.105322,26,clip,46,S3
pca_recon,auto,primary,5.319072,13,clip,46,S3
pca_recon,auto,orderband,5.78932,27,clip,46,S3
mahalanobis,3,all,1.578164,39,clip,46,S4
mahalanobis,3,machine,1.788796,26,clip,46,S4
mahalanobis,3,primary,1.187284,13,clip,46,S4
mahalanobis,3,orderband,3.554946,27,clip,46,S4
mahalanobis,5,all,2.919498,39,clip,46,S4
mahalanobis,5,machine,3.740546,26,clip,46,S4
mahalanobis,5,primary,8.336969,13,clip,46,S4
mahalanobis,5,orderband,5.753186,27,clip,46,S4
mahalanobis,8,all,3065823100303.6816,39,clip,46,S4
mahalanobis,8,machine,2446622571502.348,26,clip,46,S4
mahalanobis,8,primary,1940451619685.7048,13,clip,46,S4
mahalanobis,8,orderband,1737372866467.5266,27,clip,46,S4
mahalanobis,auto,all,3.758585,39,clip,46,S4
mahalanobis,auto,machine,6.223098,26,clip,46,S4
mahalanobis,auto,primary,5.048388,13,clip,46,S4
mahalanobis,auto,orderband,7.104979,27,clip,46,S4
isolation_forest,auto,all,1.393964,39,clip,46,S4
isolation_forest,auto,machine,1.014434,26,clip,46,S4
isolation_forest,auto,primary,0.492259,13,clip,46,S4
isolation_forest,auto,orderband,1.078998,27,clip,46,S4
ocsvm,auto,all,254.811563,39,clip,46,S4
ocsvm,auto,machine,256.539602,26,clip,46,S4
ocsvm,auto,primary,167.132823,13,clip,46,S4
ocsvm,auto,orderband,366.432189,27,clip,46,S4
pca_recon,3,all,5.043892,39,clip,46,S4
pca_recon,3,machine,7.80792,26,clip,46,S4
pca_recon,3,primary,4.634071,13,clip,46,S4
pca_recon,3,orderband,3.428405,27,clip,46,S4
pca_recon,5,all,5.879072,39,clip,46,S4
pca_recon,5,machine,5.23411,26,clip,46,S4
pca_recon,5,primary,11.578042,13,clip,46,S4
pca_recon,5,orderband,4.00796,27,clip,46,S4
pca_recon,8,all,1537963019271737.2,39,clip,46,S4
pca_recon,8,machine,1531254203307693.0,26,clip,46,S4
pca_recon,8,primary,998470597450223.4,13,clip,46,S4
pca_recon,8,orderband,1384512541362813.2,27,clip,46,S4
pca_recon,auto,all,13.869644,39,clip,46,S4
pca_recon,auto,machine,8.940752,26,clip,46,S4
pca_recon,auto,primary,6.28295,13,clip,46,S4
pca_recon,auto,orderband,7.435582,27,clip,46,S4
mahalanobis,3,all,1.011994,39,window,42,S1
mahalanobis,3,machine,1.153209,26,window,42,S1
mahalanobis,3,primary,1.691319,13,window,42,S1
mahalanobis,3,orderband,1.151411,27,window,42,S1
mahalanobis,5,all,1.047213,39,window,42,S1
mahalanobis,5,machine,1.170792,26,window,42,S1
mahalanobis,5,primary,1.484633,13,window,42,S1
mahalanobis,5,orderband,1.156727,27,window,42,S1
mahalanobis,8,all,1.309551,39,window,42,S1
mahalanobis,8,machine,1.666024,26,window,42,S1
mahalanobis,8,primary,2.987682,13,window,42,S1
mahalanobis,8,orderband,1.244459,27,window,42,S1
mahalanobis,auto,all,2.353684,39,window,42,S1
mahalanobis,auto,machine,2.511873,26,window,42,S1
mahalanobis,auto,primary,1.4042,13,window,42,S1
mahalanobis,auto,orderband,1.82186,27,window,42,S1
isolation_forest,auto,all,1.157031,39,window,42,S1
isolation_forest,auto,machine,1.204149,26,window,42,S1
isolation_forest,auto,primary,1.020786,13,window,42,S1
isolation_forest,auto,orderband,1.168466,27,window,42,S1
ocsvm,auto,all,372.423759,39,window,42,S1
ocsvm,auto,machine,322.63867,26,window,42,S1
ocsvm,auto,primary,289.12794,13,window,42,S1
ocsvm,auto,orderband,266.3554,27,window,42,S1
pca_recon,3,all,2.284979,39,window,42,S1
pca_recon,3,machine,2.476333,26,window,42,S1
pca_recon,3,primary,2.213728,13,window,42,S1
pca_recon,3,orderband,2.397277,27,window,42,S1
pca_recon,5,all,2.86462,39,window,42,S1
pca_recon,5,machine,2.81925,26,window,42,S1
pca_recon,5,primary,3.827114,13,window,42,S1
pca_recon,5,orderband,2.918124,27,window,42,S1
pca_recon,8,all,4.810681,39,window,42,S1
pca_recon,8,machine,4.443945,26,window,42,S1
pca_recon,8,primary,2.488596,13,window,42,S1
pca_recon,8,orderband,3.714594,27,window,42,S1
pca_recon,auto,all,6.441929,39,window,42,S1
pca_recon,auto,machine,5.768483,26,window,42,S1
pca_recon,auto,primary,3.882045,13,window,42,S1
pca_recon,auto,orderband,5.257769,27,window,42,S1
mahalanobis,3,all,1.760544,39,window,42,S2
mahalanobis,3,machine,1.539746,26,window,42,S2
mahalanobis,3,primary,1.573276,13,window,42,S2
mahalanobis,3,orderband,1.667,27,window,42,S2
mahalanobis,5,all,1.98779,39,window,42,S2
mahalanobis,5,machine,2.120235,26,window,42,S2
mahalanobis,5,primary,2.095924,13,window,42,S2
mahalanobis,5,orderband,1.419576,27,window,42,S2
mahalanobis,8,all,2.236568,39,window,42,S2
mahalanobis,8,machine,2.37228,26,window,42,S2
mahalanobis,8,primary,2.186846,13,window,42,S2
mahalanobis,8,orderband,1.800141,27,window,42,S2
mahalanobis,auto,all,4.13935,39,window,42,S2
mahalanobis,auto,machine,2.791264,26,window,42,S2
mahalanobis,auto,primary,2.396648,13,window,42,S2
mahalanobis,auto,orderband,2.924927,27,window,42,S2
isolation_forest,auto,all,1.55667,39,window,42,S2
isolation_forest,auto,machine,1.461797,26,window,42,S2
isolation_forest,auto,primary,0.897675,13,window,42,S2
isolation_forest,auto,orderband,1.719915,27,window,42,S2
ocsvm,auto,all,173.634609,39,window,42,S2
ocsvm,auto,machine,109.998586,26,window,42,S2
ocsvm,auto,primary,170.007924,13,window,42,S2
ocsvm,auto,orderband,120.852743,27,window,42,S2
pca_recon,3,all,3.337731,39,window,42,S2
pca_recon,3,machine,2.90459,26,window,42,S2
pca_recon,3,primary,3.38029,13,window,42,S2
pca_recon,3,orderband,2.06781,27,window,42,S2
pca_recon,5,all,3.074975,39,window,42,S2
pca_recon,5,machine,2.693048,26,window,42,S2
pca_recon,5,primary,2.359152,13,window,42,S2
pca_recon,5,orderband,3.052816,27,window,42,S2
pca_recon,8,all,3.499847,39,window,42,S2
pca_recon,8,machine,3.555969,26,window,42,S2
pca_recon,8,primary,1.208059,13,window,42,S2
pca_recon,8,orderband,3.260381,27,window,42,S2
pca_recon,auto,all,5.242605,39,window,42,S2
pca_recon,auto,machine,3.283937,26,window,42,S2
pca_recon,auto,primary,2.195496,13,window,42,S2
pca_recon,auto,orderband,3.966459,27,window,42,S2
mahalanobis,3,all,2.014454,39,window,42,S3
mahalanobis,3,machine,1.379764,26,window,42,S3
mahalanobis,3,primary,1.784507,13,window,42,S3
mahalanobis,3,orderband,1.638763,27,window,42,S3
mahalanobis,5,all,1.721785,39,window,42,S3
mahalanobis,5,machine,1.82114,26,window,42,S3
mahalanobis,5,primary,1.846144,13,window,42,S3
mahalanobis,5,orderband,1.231076,27,window,42,S3
mahalanobis,8,all,1.998624,39,window,42,S3
mahalanobis,8,machine,2.599879,26,window,42,S3
mahalanobis,8,primary,3.240595,13,window,42,S3
mahalanobis,8,orderband,2.244361,27,window,42,S3
mahalanobis,auto,all,3.226738,39,window,42,S3
mahalanobis,auto,machine,3.095725,26,window,42,S3
mahalanobis,auto,primary,1.801283,13,window,42,S3
mahalanobis,auto,orderband,2.852847,27,window,42,S3
isolation_forest,auto,all,1.465836,39,window,42,S3
isolation_forest,auto,machine,1.079884,26,window,42,S3
isolation_forest,auto,primary,0.761067,13,window,42,S3
isolation_forest,auto,orderband,1.610876,27,window,42,S3
ocsvm,auto,all,271.301101,39,window,42,S3
ocsvm,auto,machine,140.062422,26,window,42,S3
ocsvm,auto,primary,166.721158,13,window,42,S3
ocsvm,auto,orderband,241.278197,27,window,42,S3
pca_recon,3,all,3.008329,39,window,42,S3
pca_recon,3,machine,3.502147,26,window,42,S3
pca_recon,3,primary,2.359591,13,window,42,S3
pca_recon,3,orderband,2.429688,27,window,42,S3
pca_recon,5,all,4.029324,39,window,42,S3
pca_recon,5,machine,3.829555,26,window,42,S3
pca_recon,5,primary,2.779427,13,window,42,S3
pca_recon,5,orderband,3.487528,27,window,42,S3
pca_recon,8,all,4.481088,39,window,42,S3
pca_recon,8,machine,3.590274,26,window,42,S3
pca_recon,8,primary,1.776177,13,window,42,S3
pca_recon,8,orderband,2.834957,27,window,42,S3
pca_recon,auto,all,5.514761,39,window,42,S3
pca_recon,auto,machine,4.607961,26,window,42,S3
pca_recon,auto,primary,2.955892,13,window,42,S3
pca_recon,auto,orderband,3.202741,27,window,42,S3
mahalanobis,3,all,1.867237,39,window,42,S4
mahalanobis,3,machine,1.104925,26,window,42,S4
mahalanobis,3,primary,1.11925,13,window,42,S4
mahalanobis,3,orderband,1.782359,27,window,42,S4
mahalanobis,5,all,1.811092,39,window,42,S4
mahalanobis,5,machine,2.14611,26,window,42,S4
mahalanobis,5,primary,1.755626,13,window,42,S4
mahalanobis,5,orderband,1.510503,27,window,42,S4
mahalanobis,8,all,2.740117,39,window,42,S4
mahalanobis,8,machine,3.21306,26,window,42,S4
mahalanobis,8,primary,2.579362,13,window,42,S4
mahalanobis,8,orderband,2.397136,27,window,42,S4
mahalanobis,auto,all,4.068904,39,window,42,S4
mahalanobis,auto,machine,3.566771,26,window,42,S4
mahalanobis,auto,primary,1.443164,13,window,42,S4
mahalanobis,auto,orderband,2.679195,27,window,42,S4
isolation_forest,auto,all,1.506784,39,window,42,S4
isolation_forest,auto,machine,1.256255,26,window,42,S4
isolation_forest,auto,primary,0.806593,13,window,42,S4
isolation_forest,auto,orderband,1.516904,27,window,42,S4
ocsvm,auto,all,125.562676,39,window,42,S4
ocsvm,auto,machine,238.32911,26,window,42,S4
ocsvm,auto,primary,117.025696,13,window,42,S4
ocsvm,auto,orderband,127.88391,27,window,42,S4
pca_recon,3,all,2.901706,39,window,42,S4
pca_recon,3,machine,4.080222,26,window,42,S4
pca_recon,3,primary,2.346546,13,window,42,S4
pca_recon,3,orderband,3.145721,27,window,42,S4
pca_recon,5,all,3.693156,39,window,42,S4
pca_recon,5,machine,2.779097,26,window,42,S4
pca_recon,5,primary,2.991297,13,window,42,S4
pca_recon,5,orderband,3.137282,27,window,42,S4
pca_recon,8,all,6.84804,39,window,42,S4
pca_recon,8,machine,4.19489,26,window,42,S4
pca_recon,8,primary,1.974268,13,window,42,S4
pca_recon,8,orderband,3.256165,27,window,42,S4
pca_recon,auto,all,7.907552,39,window,42,S4
pca_recon,auto,machine,5.663656,26,window,42,S4
pca_recon,auto,primary,2.748834,13,window,42,S4
pca_recon,auto,orderband,4.540206,27,window,42,S4
mahalanobis,3,all,1.011994,39,window,43,S1
mahalanobis,3,machine,1.153209,26,window,43,S1
mahalanobis,3,primary,1.691319,13,window,43,S1
mahalanobis,3,orderband,1.151411,27,window,43,S1
mahalanobis,5,all,1.047213,39,window,43,S1
mahalanobis,5,machine,1.170792,26,window,43,S1
mahalanobis,5,primary,1.484633,13,window,43,S1
mahalanobis,5,orderband,1.156727,27,window,43,S1
mahalanobis,8,all,1.309551,39,window,43,S1
mahalanobis,8,machine,1.666024,26,window,43,S1
mahalanobis,8,primary,2.987682,13,window,43,S1
mahalanobis,8,orderband,1.244459,27,window,43,S1
mahalanobis,auto,all,2.353684,39,window,43,S1
mahalanobis,auto,machine,2.511873,26,window,43,S1
mahalanobis,auto,primary,1.4042,13,window,43,S1
mahalanobis,auto,orderband,1.82186,27,window,43,S1
isolation_forest,auto,all,1.136022,39,window,43,S1
isolation_forest,auto,machine,1.194093,26,window,43,S1
isolation_forest,auto,primary,1.099695,13,window,43,S1
isolation_forest,auto,orderband,1.253333,27,window,43,S1
ocsvm,auto,all,372.423759,39,window,43,S1
ocsvm,auto,machine,322.63867,26,window,43,S1
ocsvm,auto,primary,289.12794,13,window,43,S1
ocsvm,auto,orderband,266.3554,27,window,43,S1
pca_recon,3,all,2.284979,39,window,43,S1
pca_recon,3,machine,2.476333,26,window,43,S1
pca_recon,3,primary,2.213728,13,window,43,S1
pca_recon,3,orderband,2.397277,27,window,43,S1
pca_recon,5,all,2.86462,39,window,43,S1
pca_recon,5,machine,2.81925,26,window,43,S1
pca_recon,5,primary,3.827114,13,window,43,S1
pca_recon,5,orderband,2.918124,27,window,43,S1
pca_recon,8,all,4.810681,39,window,43,S1
pca_recon,8,machine,4.443945,26,window,43,S1
pca_recon,8,primary,2.488596,13,window,43,S1
pca_recon,8,orderband,3.714594,27,window,43,S1
pca_recon,auto,all,6.441929,39,window,43,S1
pca_recon,auto,machine,5.768483,26,window,43,S1
pca_recon,auto,primary,3.882045,13,window,43,S1
pca_recon,auto,orderband,5.257769,27,window,43,S1
mahalanobis,3,all,1.760544,39,window,43,S2
mahalanobis,3,machine,1.539746,26,window,43,S2
mahalanobis,3,primary,1.573276,13,window,43,S2
mahalanobis,3,orderband,1.667,27,window,43,S2
mahalanobis,5,all,1.98779,39,window,43,S2
mahalanobis,5,machine,2.120235,26,window,43,S2
mahalanobis,5,primary,2.095924,13,window,43,S2
mahalanobis,5,orderband,1.419576,27,window,43,S2
mahalanobis,8,all,2.236568,39,window,43,S2
mahalanobis,8,machine,2.37228,26,window,43,S2
mahalanobis,8,primary,2.186846,13,window,43,S2
mahalanobis,8,orderband,1.800141,27,window,43,S2
mahalanobis,auto,all,4.13935,39,window,43,S2
mahalanobis,auto,machine,2.791264,26,window,43,S2
mahalanobis,auto,primary,2.396648,13,window,43,S2
mahalanobis,auto,orderband,2.924927,27,window,43,S2
isolation_forest,auto,all,1.48655,39,window,43,S2
isolation_forest,auto,machine,1.449651,26,window,43,S2
isolation_forest,auto,primary,0.979674,13,window,43,S2
isolation_forest,auto,orderband,1.688043,27,window,43,S2
ocsvm,auto,all,173.634609,39,window,43,S2
ocsvm,auto,machine,109.998586,26,window,43,S2
ocsvm,auto,primary,170.007924,13,window,43,S2
ocsvm,auto,orderband,120.852743,27,window,43,S2
pca_recon,3,all,3.337731,39,window,43,S2
pca_recon,3,machine,2.90459,26,window,43,S2
pca_recon,3,primary,3.38029,13,window,43,S2
