model,pca,features,criterion,n_cols,level,seed,fold
ocsvm,auto,all,273.664284,39,clip,42,S3
ocsvm,auto,machine,263.310919,26,clip,42,S3
ocsvm,auto,primary,160.294473,13,clip,42,S3
ocsvm,auto,orderband,713.600907,27,clip,42,S3
pca_recon,3,all,5.913724,39,clip,42,S3
pca_recon,3,machine,6.18896,26,clip,42,S3
pca_recon,3,primary,4.211472,13,clip,42,S3
pca_recon,3,orderband,3.775107,27,clip,42,S3
pca_recon,5,all,8.371802,39,clip,42,S3
pca_recon,5,machine,7.518871,26,clip,42,S3
pca_recon,5,primary,5.319072,13,clip,42,S3
pca_recon,5,orderband,5.56361,27,clip,42,S3
pca_recon,8,all,10.353893,39,clip,42,S3
pca_recon,8,machine,14.222166,26,clip,42,S3
pca_recon,8,primary,8.462899,13,clip,42,S3
pca_recon,8,orderband,7.293461,27,clip,42,S3
pca_recon,auto,all,11.912282,39,clip,42,S3
pca_recon,auto,machine,8.105322,26,clip,42,S3
pca_recon,auto,primary,5.319072,13,clip,42,S3
pca_recon,auto,orderband,5.78932,27,clip,42,S3
mahalanobis,3,all,1.578164,39,clip,42,S4
mahalanobis,3,machine,1.788796,26,clip,42,S4
mahalanobis,3,primary,1.187284,13,clip,42,S4
mahalanobis,3,orderband,3.554946,27,clip,42,S4
mahalanobis,5,all,2.919498,39,clip,42,S4
mahalanobis,5,machine,3.740546,26,clip,42,S4
mahalanobis,5,primary,8.336969,13,clip,42,S4
mahalanobis,5,orderband,5.753186,27,clip,42,S4
mahalanobis,8,all,3065823100303.6816,39,clip,42,S4
mahalanobis,8,machine,2446622571502.348,26,clip,42,S4
mahalanobis,8,primary,1940451619685.7048,13,clip,42,S4
mahalanobis,8,orderband,1737372866467.5266,27,clip,42,S4
mahalanobis,auto,all,3.758585,39,clip,42,S4
mahalanobis,auto,machine,6.223098,26,clip,42,S4
mahalanobis,auto,primary,5.048388,13,clip,42,S4
mahalanobis,auto,orderband,7.104979,27,clip,42,S4
