clip,frames,freq_resolution_hz,app_peak_y_hz,ref_peak_y_hz,diff_y_hz,app_peak_x_hz,ref_peak_x_hz,diff_x_hz,pass_y,pass_x,a1_over_noise,f0_hz,app_seconds,n_warnings
IMG_8351.MOV,2194,0.10939,3.0629,2.40656,0.656335,2.95351,2.95351,0.0,False,True,28.469,3.0629,11.64,1
IMG_8352.MOV,2219,0.10816,3.67733,3.67733,0.0,19.0356,19.0356,0.0,True,True,24.709,3.6773,11.48,1
IMG_8353.MOV,2226,0.10782,3.34232,3.34232,0.0,19.08356,19.08356,0.0,True,True,23.292,3.3423,11.6,1
IMG_8354.MOV,2219,0.10816,3.02839,3.02839,0.0,3.02839,3.02839,0.0,True,True,26.953,3.0284,11.73,1
IMG_8356.MOV,2219,0.10816,2.05498,3.13655,1.081568,19.0356,19.0356,0.0,False,True,40.451,2.055,11.45,1
IMG_8357.MOV,2227,0.10777,3.23305,2.90974,0.323305,3.01751,3.01751,0.0,False,True,23.169,3.233,11.58,1
IMG_8358.MOV,2231,0.10758,2.90453,2.90453,0.0,3.0121,3.0121,0.0,True,True,30.925,2.9045,11.77,1
IMG_8359.MOV,2248,0.10676,3.62989,3.62989,0.0,18.8968,18.8968,0.0,True,True,23.239,3.6299,11.8,1
