roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,fs_hz,mode,n_windows
0.8195325750082431,0.0688735898328484,0.9936351544804694,0.0029367301126566967,0.42470653304280515,0.1184953751562103,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,ideal,33167
0.8828007050865043,0.029030565550766534,0.9962173710012827,0.0013220997179601247,0.8311037590861152,0.02072858035327111,0.10862745098039217,0.08268606759728049,5,mafaulda,ocsvm,48000.0,ideal,33167
0.8194500913509394,0.06889322317715028,0.9936324037414895,0.00293197082868936,0.42410498691234705,0.11781120275387465,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,4000.0,boxcar,33167
0.8829952910161116,0.029082001290596488,0.9962225457394418,0.001324802449257844,0.833195247222265,0.020882981589230853,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,boxcar,33167
0.8190842732263475,0.06898241702454277,0.9936205789633192,0.0029140340875426626,0.4187173545060703,0.11457106001898339,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,boxcar,33167
0.8834114263034755,0.029180287607047998,0.9962332600330972,0.0013318048812259358,0.8366560102084266,0.0202090335856651,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,boxcar,33167
0.8269163125205206,0.0599919772432733,0.9941543314002915,0.0021497058370309316,0.41814822718472683,0.1120269438002135,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,boxcar,33167
0.8844496507726023,0.029130573200000003,0.9962535922956018,0.0013530827148101133,0.8361566517712491,0.020906617838115794,0.10875816993464053,0.08766165504542989,5,mafaulda,ocsvm,1000.0,boxcar,33167
0.7734579966729288,0.06985449744661072,0.9915985813292808,0.003232619525106525,0.1823858562590525,0.028558792837030233,0.021045751633986927,0.019511747092334945,5,mafaulda,mahalanobis,480.0,boxcar,33167
0.8836572518033311,0.02958812166614735,0.9961793114294402,0.0014569415532272544,0.813396805035134,0.022976993525841403,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,boxcar,33167
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,240.0,boxcar,33167
0.7854367020095241,0.03318620843280203,0.992583336508304,0.001927211040839601,0.6773985417869705,0.023507133852417796,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,240.0,boxcar,33167
0.7029769826893822,0.07597814429903407,0.9876252034185841,0.004870851147743611,0.11102563352224706,0.028960590986682726,0.026666666666666665,0.04086248165208066,5,mafaulda,mahalanobis,120.0,boxcar,33167
0.7788708442787143,0.037556467506126755,0.9918726144783447,0.0029496235361881487,0.6230276694773892,0.025963890469983795,0.0681045751633987,0.07030231369130549,5,mafaulda,ocsvm,120.0,boxcar,33167
0.6527625436306546,0.03172202659466065,0.9861923252609941,0.001648053972451298,0.27349239896411776,0.05346576029453475,0.024836601307189544,0.03172123764018236,5,mafaulda,mahalanobis,60.0,boxcar,33167
0.692448133020849,0.05122519407188189,0.9885641659393665,0.0031913483800991606,0.44648458492161736,0.026742070336233974,0.056732026143790845,0.07619833105186702,5,mafaulda,ocsvm,60.0,boxcar,33167
0.749683926518258,0.06254164793514733,0.9740211540004486,0.010442197195462646,0.40960998130150394,0.016086889344155076,0.006756756756756757,0.013513513513513514,4,cwru_48k,mahalanobis,48000.0,ideal,1737
0.8277173714705249,0.06455581785568965,0.9839055316355674,0.008692044461576256,0.875023531449758,0.03442321002583415,0.23449920508744038,0.33125765472334134,4,cwru_48k,ocsvm,48000.0,ideal,1737
0.749608187379032,0.06269441365189092,0.9739904993419937,0.010450382915411468,0.40672235211319896,0.017038431152317384,0.006756756756756757,0.013513513513513514,4,cwru_48k,mahalanobis,4000.0,boxcar,1737
0.8274795956096097,0.06458113095954356,0.9838696289850906,0.008717509896244383,0.8741304833591619,0.03458485686098767,0.24801271860095392,0.31862940658048,4,cwru_48k,ocsvm,4000.0,boxcar,1737
0.7490303146528521,0.062218377185265836,0.9739289389458575,0.010431125682371947,0.4051483631426107,0.018745337072412608,0.006756756756756757,0.013513513513513514,4,cwru_48k,mahalanobis,2000.0,boxcar,1737
0.8268471894732738,0.06458177508045866,0.9837702783479862,0.00880252511669376,0.8741329438001404,0.0330632265817702,0.23330683624801274,0.3207624031986942,4,cwru_48k,ocsvm,2000.0,boxcar,1737
0.7480797368099672,0.0640837911679116,0.9737330372475308,0.01063293915958339,0.4045688607909481,0.022475891639702598,0.006756756756756757,0.013513513513513514,4,cwru_48k,mahalanobis,1000.0,boxcar,1737
0.8252712026652256,0.06443223591832585,0.9834878728289539,0.009040917977090722,0.8722682978075398,0.033741391224342485,0.21979332273449922,0.33251392854190176,4,cwru_48k,ocsvm,1000.0,boxcar,1737
0.738557460217752,0.05637587605322573,0.9730112777454959,0.010064281459967765,0.4252343025242499,0.024766926104238824,0.02821939586645469,0.03264307563054593,4,cwru_48k,mahalanobis,480.0,boxcar,1737
0.8171052153769989,0.07894090193147914,0.9825189955624352,0.010765608751782759,0.8721175508377503,0.03422400728252285,0.21979332273449922,0.33251392854190176,4,cwru_48k,ocsvm,480.0,boxcar,1737
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,mahalanobis,240.0,boxcar,1737
0.7721636718767277,0.16045013736963998,0.9758767915244491,0.02379089508784903,0.8703736917665482,0.030986814203597706,0.29650238473767887,0.38222318810851813,4,cwru_48k,ocsvm,240.0,boxcar,1737
