roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,quant_px,quant_um,dead_window_frac,median_rms_px,fs_hz,mode
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,0.0,0.0,0.0,0.031717,240.0,boxcar
0.6293458562275633,0.06490480819461965,0.9568871523058247,0.014907872428395717,0.2634694769709024,0.022259368232931447,0.03497615262321145,0.01589825119236884,4,cwru_48k,0.005,1.724,0.0,0.031715,240.0,boxcar
0.5803983642728194,0.052185470811676564,0.9442801043640722,0.01511228807107554,0.16379578052614313,0.044994616928229626,0.02821939586645469,0.03264307563054593,4,cwru_48k,0.01,3.448,0.0,0.031801,240.0,boxcar
0.5415099939123832,0.029440172578960203,0.9364956667610592,0.01045620481784737,0.11727046816986267,0.035412954272150216,0.05643879173290938,0.06528615126109186,4,cwru_48k,0.05,17.241,0.0,0.035325,240.0,boxcar
0.49567721477211285,0.02493615582615789,0.928654248761968,0.020466628902173538,0.012318885573324365,0.012004817399296028,0.02702702702702703,0.05405405405405406,4,cwru_48k,0.1,34.483,0.118,0.032903,240.0,boxcar
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,0.0,0.0,0.28549,240.0,boxcar
0.7090324787427371,0.05490209713550877,0.9882756501844174,0.0034799834389941976,0.10223647474607174,0.01917513152926671,0.02,0.02300894966542111,5,mafaulda,0.005,1.724,0.0,0.285518,240.0,boxcar
0.7005638538873059,0.07042000308455044,0.9876654555799638,0.004518903168030476,0.10945824877203636,0.020675198717874342,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,3.448,0.0,0.28548,240.0,boxcar
0.7233491618477983,0.05412559209519739,0.9880963198356506,0.003396770834895591,0.14473967443957783,0.04936629144759599,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,17.241,0.0,0.286004,240.0,boxcar
0.7292422811925728,0.03711089838804447,0.9893739566053299,0.002071982593123759,0.16596979243484442,0.12489452408642802,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,34.483,0.0,0.286778,240.0,boxcar
