roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,fs_hz,mode,n_windows,fit_score_s
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,mahalanobis,240,boxcar,1737,0.19
0.6918835207503893,0.1660585502791964,0.9626166015381504,0.028383012268468902,0.17760704367441998,0.030388683162806483,0.013513513513513514,0.02702702702702703,4,cwru_48k,isolation_forest,240,boxcar,1737,2.16
0.7721636718767277,0.16045013736963998,0.9758767915244491,0.02379089508784903,0.8703736917665482,0.030986814203597706,0.29650238473767887,0.38222318810851813,4,cwru_48k,ocsvm,240,boxcar,1737,0.2
0.7876052219652442,0.08640734750947661,0.9789852321732286,0.012447330835523244,0.5585818747230029,0.09494501126214364,0.07670906200317965,0.09326710563798145,4,cwru_48k,pca_recon,240,boxcar,1737,0.11
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,240,boxcar,33167,0.57
0.7598231521225893,0.06434487997955612,0.9908105915298442,0.005254767891314968,0.0840709563703477,0.030982985514235693,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,240,boxcar,33167,4.08
0.7854367020095241,0.03318620843280203,0.992583336508304,0.001927211040839601,0.6773985417869705,0.023507133852417796,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,240,boxcar,33167,0.78
0.705936323053949,0.06335105034770001,0.9871510403910925,0.004673952787313109,0.1842220738559863,0.029641474812462223,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,240,boxcar,33167,0.58
