roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,group,variant,n_windows,E_hi_empty_frac
0.70870355373685,0.05500533951421085,0.9883505606331615,0.0033916172623906374,0.10418278834546157,0.027250503794073292,0.021176470588235293,0.02300894966542111,5,mafaulda,bands,sub0.10_midhi3.50,33167,0.5228
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,bands,sub0.10_midhi5.00,33167,0.7478
0.6966388009741163,0.0688110974101618,0.9873671755381069,0.004572852347211843,0.09899202463171397,0.020359383525645647,0.018823529411764704,0.023307779713128175,5,mafaulda,bands,sub0.20_midhi3.50,33167,0.5228
0.6965908355053748,0.06854249122475364,0.9873109718499583,0.004589783221656008,0.09989233181639164,0.02023155799567011,0.018823529411764704,0.023307779713128175,5,mafaulda,bands,sub0.20_midhi5.00,33167,0.7478
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,orders_all_speeds,all_dimensionless,33167,
0.7535442472421823,0.10048316682619617,0.9894141042675407,0.006072715148242175,0.09517588336069922,0.020563926399272375,0.026405228758169936,0.03403277450778914,5,mafaulda,orders_all_speeds,drop_orders,33167,
0.7758126587568862,0.10790707164888776,0.9914815935343618,0.0044497082317048854,0.21812948792655687,0.1345094941735022,0.021568627450980392,0.022356380884296822,5,mafaulda,orders_f0_under_40Hz_3x_intact,all_dimensionless,19975,
0.776719318114901,0.09645699729387422,0.991752387017435,0.004614669735626812,0.3170502857693692,0.09391513684203777,0.021568627450980392,0.03281019711898336,5,mafaulda,orders_f0_under_40Hz_3x_intact,drop_orders,19975,
0.7891315928077567,0.06005709301743657,0.9926005579436417,0.00274973933774411,0.47795717558937784,0.17938187126220087,0.020588235294117647,0.0286670421906146,5,mafaulda,orders_f0_over_40Hz_3x_aliased,all_dimensionless,13192,
0.7853058008237773,0.04139352204224314,0.99212262360453,0.0026333007821974412,0.2825685060922624,0.2122564689145802,0.014705882352941176,0.025471335405424664,5,mafaulda,orders_f0_over_40Hz_3x_aliased,drop_orders,13192,
0.6790345933738281,0.18200480289390278,0.9633376204241645,0.028902519714571653,0.4485062538315154,0.056499162718106025,0.10135135135135136,0.16715293076828353,4,cwru_48k,bands,sub0.10_midhi3.50,1737,0.0
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,bands,sub0.10_midhi5.00,1737,1.0
0.6636592788156002,0.19284941952545345,0.961129855594632,0.03080225037522366,0.4712530864636486,0.049587159774083525,0.12162162162162163,0.20759853372617865,4,cwru_48k,bands,sub0.20_midhi3.50,1737,0.0
0.6851095941149558,0.21515380526141203,0.963108326143276,0.033852391906112285,0.49667003408581095,0.024003232129718003,0.12837837837837837,0.2567567567567567,4,cwru_48k,bands,sub0.20_midhi5.00,1737,1.0
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,orders_all_speeds,all_dimensionless,1737,
0.7110835771194517,0.033986970721910155,0.971038195065284,0.0068738286652591804,0.43599747071571815,0.033114610460597806,0.02821939586645469,0.03264307563054593,4,cwru_48k,orders_all_speeds,drop_orders,1737,
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,orders_f0_under_40Hz_3x_intact,all_dimensionless,1737,
0.7110835771194517,0.033986970721910155,0.971038195065284,0.0068738286652591804,0.43599747071571815,0.033114610460597806,0.02821939586645469,0.03264307563054593,4,cwru_48k,orders_f0_under_40Hz_3x_intact,drop_orders,1737,
