roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,noise_type,snr_db,fs_hz,mode
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,none,,240.0,boxcar
0.5957468794723769,0.03297213648417787,0.9509920964425944,0.014928378691838084,0.22893977010645503,0.04011837043599922,0.02027027027027027,0.013513513513513514,4,cwru_48k,white,30,240.0,boxcar
0.5339692119240733,0.03164952470198128,0.939520579743032,0.014898725229026953,0.13315482143173468,0.09357295607039379,0.04173290937996821,0.035582142573612634,4,cwru_48k,white,20,240.0,boxcar
0.5547645035680457,0.041394053142935525,0.9447515806246964,0.015080891189597077,0.19006617027965347,0.07169509630263916,0.049682034976152624,0.05039812497153251,4,cwru_48k,white,10,240.0,boxcar
0.5319816628006571,0.04076802880664933,0.936770122806113,0.01974238542783689,0.1118742329900522,0.05549189290036804,0.02027027027027027,0.02587640831773887,4,cwru_48k,white,5,240.0,boxcar
0.4797579081650903,0.04921685914660441,0.9330704179880089,0.012727470555809554,0.12437802450960345,0.049417300562815784,0.03497615262321145,0.02719793835793607,4,cwru_48k,white,0,240.0,boxcar
0.6946118027714356,0.21539986353991766,0.964632275330115,0.03331861927707263,0.5214830129222032,0.03680229797425595,0.13513513513513514,0.23458047867191958,4,cwru_48k,shake,30,240.0,boxcar
0.6679148205239938,0.2135604488568732,0.961823081476939,0.03292197122290023,0.4666732081050545,0.028392768878783253,0.14308426073131955,0.21259713119952262,4,cwru_48k,shake,20,240.0,boxcar
0.671363728641327,0.22184794333004196,0.9621439700562404,0.033909013996761356,0.4898465257455988,0.033419176439690806,0.19038155802861687,0.30587886863724323,4,cwru_48k,shake,10,240.0,boxcar
0.6701082577531978,0.2335421771018819,0.9618923602307872,0.0358551181698305,0.5367628635724083,0.02547979278443628,0.1554054054054054,0.2750699935274239,4,cwru_48k,shake,5,240.0,boxcar
0.6826853710039589,0.19567371767686403,0.9642797669254619,0.02869938605131861,0.41853720659477756,0.07052498307658168,0.08108108108108109,0.14470611174963074,4,cwru_48k,shake,0,240.0,boxcar
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,240.0,boxcar
0.7127460057724574,0.0742506805415009,0.9883941306594284,0.004440814343212605,0.10168279162726757,0.019276855234453927,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,240.0,boxcar
0.7473417871500228,0.060142856183018865,0.9896232535612406,0.0036670013014713436,0.08251113518759307,0.00769708973218615,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,240.0,boxcar
0.7408168903329139,0.041721226585118835,0.9895475006814957,0.002671212862417711,0.07248471160436769,0.010365138521879907,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,240.0,boxcar
0.7060096109406919,0.052383307528437666,0.9873714710334494,0.0037551500180980236,0.05567527922674319,0.006525872017576921,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,240.0,boxcar
0.7019369240305601,0.05090568218106176,0.9879539848010287,0.0036849997035199853,0.14118363568411998,0.03589168494527689,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,240.0,boxcar
0.7141375741319439,0.059026503725817435,0.9885107817474112,0.003705622129745858,0.10638391369748386,0.016657737241181234,0.021176470588235293,0.02300894966542111,5,mafaulda,shake,30,240.0,boxcar
0.7131216028139266,0.06382468257707709,0.9885481548261307,0.0038549902078432205,0.10911717253485194,0.016097833139414118,0.01764705882352941,0.023529411764705882,5,mafaulda,shake,20,240.0,boxcar
0.7201528129785608,0.06476125053828481,0.9891697633142215,0.0037795612024818194,0.10699180757156912,0.02481012428351709,0.01647058823529412,0.02474786349172074,5,mafaulda,shake,10,240.0,boxcar
0.7062394999339487,0.05851215326158058,0.9889796373037342,0.0034939565590613557,0.23477481700488467,0.06726987848759046,0.024444444444444446,0.04505918568809939,5,mafaulda,shake,5,240.0,boxcar
0.6866436182205723,0.06343711165973781,0.9882155343920778,0.003782389269135491,0.16634355435782866,0.06036519915036084,0.03084967320261438,0.05629154927138612,5,mafaulda,shake,0,240.0,boxcar
