roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,group,variant,detector,n_windows,n_features
0.7151511375400108,0.05877376622518141,0.9885455920215952,0.003684347418912642,0.10699068815454689,0.016134236515158457,0.022352941176470586,0.02293363375249168,5,mafaulda,detrend,constant,mahalanobis,33167,13
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,detrend,linear,mahalanobis,33167,13
0.7157027970082769,0.058675465367056034,0.9884755385992943,0.00391599317540837,0.10239355896501641,0.017597386324017916,0.02,0.02300894966542111,5,mafaulda,detrend,poly2,mahalanobis,33167,13
0.7155446980475186,0.06060082414732367,0.9883392846651603,0.00417372130905279,0.10384844365544679,0.020007117460307696,0.024052287581699347,0.034681810393165244,5,mafaulda,detrend,poly3,mahalanobis,33167,13
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,window_fn,hann,mahalanobis,33167,13
0.7131281066088277,0.06272088026521934,0.9885406207487751,0.004070731187732384,0.11249521531870603,0.012051854336406799,0.02366013071895425,0.024881280761694356,5,mafaulda,window_fn,hamming,mahalanobis,33167,13
0.7300396586309188,0.05453420030562589,0.9887805338260645,0.004046551524632713,0.07412453659198068,0.010470892755765787,0.016209150326797383,0.017282607980170884,5,mafaulda,window_fn,none,mahalanobis,33167,13
0.6810661805725358,0.06997288660161097,0.9858007717331718,0.0055792520143539024,0.07860839094854995,0.010306885307060108,0.028366013071895423,0.0541056473703384,5,mafaulda,order_tolerance,0.02,mahalanobis,33167,13
0.7133479824996717,0.06360610083299824,0.9883638903067808,0.004254340592505833,0.10091405379837322,0.018609798026948902,0.023790849673202615,0.0305082469037204,5,mafaulda,order_tolerance,0.05,mahalanobis,33167,13
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,order_tolerance,0.08,mahalanobis,33167,13
