roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,quant_px,label
0.647841727125858,0.2768975380971776,0.8490521981740329,0.1475513615779317,0.4283206787486055,0.11540406304874834,0.11486486486486487,0.22972972972972977,4,cwru_48k,0.0,ball
0.6632714915206966,0.1818602178749491,0.8597645376654304,0.08894885561454319,0.4455570086422929,0.15757612987195593,0.11486486486486487,0.22972972972972977,4,cwru_48k,0.0,inner_race
0.7227578070014562,0.2073142671678442,0.9436615296128326,0.053467640929960904,0.5298661611639166,0.04146729366767815,0.11486486486486487,0.22972972972972977,4,cwru_48k,0.0,outer_race
0.624829282244361,0.08955663775964177,0.8466630291113364,0.05363046660056835,0.2840016158833868,0.06895951744822197,0.03497615262321145,0.01589825119236884,4,cwru_48k,0.005,ball
0.5970072645847686,0.07207739885755582,0.8224774632887992,0.045285101066780985,0.2264224163814328,0.06489175145919972,0.03497615262321145,0.01589825119236884,4,cwru_48k,0.005,inner_race
0.6451445782498819,0.056480138783878,0.9265824766694268,0.025317471225918552,0.2639220243621484,0.051057958589028944,0.03497615262321145,0.01589825119236884,4,cwru_48k,0.005,outer_race
0.5809667728653823,0.06900786589391202,0.8076612525078376,0.049562096285105134,0.1841736694677871,0.08310646330054228,0.02821939586645469,0.03264307563054593,4,cwru_48k,0.01,ball
0.5687749969347744,0.05774009561708461,0.794753933519813,0.02737466026553408,0.1318078009126777,0.03809353207176617,0.02821939586645469,0.03264307563054593,4,cwru_48k,0.01,inner_race
0.5853950002489215,0.05045922063729946,0.9015125779060076,0.030398855227858398,0.16471216381784348,0.04770972624688421,0.02821939586645469,0.03264307563054593,4,cwru_48k,0.01,outer_race
0.5579653155561707,0.0565739108150897,0.7890179902734035,0.04988675336753137,0.10712189957652753,0.048677013612172686,0.05643879173290938,0.06528615126109186,4,cwru_48k,0.05,ball
0.5525022196325853,0.018017464464597496,0.7802620153659245,0.015466585663389768,0.13362029139070167,0.048650500190858495,0.05643879173290938,0.06528615126109186,4,cwru_48k,0.05,inner_race
0.5321762841163384,0.04071746143134189,0.8863999617747185,0.02075660248578103,0.11466664236687119,0.044521369635134526,0.05643879173290938,0.06528615126109186,4,cwru_48k,0.05,outer_race
0.519968555115446,0.11754686474904803,0.7696389293850985,0.09674035642336368,0.008547008547008548,0.017094017094017096,0.02702702702702703,0.05405405405405406,4,cwru_48k,0.1,ball
0.4926699594823601,0.017867112627703952,0.7444869122362106,0.026233684574126278,0.009899068322981366,0.011539802546385374,0.02702702702702703,0.05405405405405406,4,cwru_48k,0.1,inner_race
0.48924867706554137,0.025692756885182855,0.8741446987557546,0.034505528585632876,0.014904335806780154,0.01750912379578294,0.02702702702702703,0.05405405405405406,4,cwru_48k,0.1,outer_race
0.5062684224016404,0.08640302006744564,0.8117023740376392,0.04533646551028638,0.08191984985993714,0.04988391874842253,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,horizontal_misalignment
0.8210750448936681,0.04817973794734868,0.9570760326202589,0.02038265916955699,0.09066857014134463,0.020253987570690305,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,imbalance
0.8772924231420964,0.04884704697987664,0.9449585779806583,0.0252585138395081,0.32902696309802343,0.08569836534723485,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,overhang_ball_fault
0.7888668599395243,0.0713568477274446,0.918862373580534,0.03983377675096611,0.0735293522660531,0.02133229175107559,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,overhang_cage_fault
0.8885877901212084,0.05913778948365227,0.9484556112718521,0.03196764158907493,0.10471726051828337,0.032448591222337786,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,overhang_outer_race
0.652938491213851,0.0821751154984472,0.8679593072608812,0.04162778607555771,0.08904582906308532,0.053296607390780265,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,underhang_ball_fault
0.7067884055973657,0.0715082034998907,0.893465866550206,0.035616983872673286,0.11281333188913045,0.030980682689296813,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,underhang_cage_fault
0.6984840665348162,0.07752114215626757,0.8823875746093875,0.04169985015365836,0.0620501965855695,0.025570922266736504,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,underhang_outer_race
0.5575257813829485,0.05835451364449314,0.8816511035087483,0.02067730701525789,0.06895543950137209,0.04357472998057608,0.021176470588235293,0.02300894966542111,5,mafaulda,0.0,vertical_misalignment
0.5043481698360592,0.0873024678750183,0.8095111633209406,0.0441912049469793,0.08196902425998927,0.04948203831075437,0.02,0.02300894966542111,5,mafaulda,0.005,horizontal_misalignment
0.8202477807043215,0.04908846954602597,0.9568956907127733,0.01978022794794447,0.09126798896187027,0.023300755886140955,0.02,0.02300894966542111,5,mafaulda,0.005,imbalance
0.8631036190801666,0.04822652698935827,0.9395701537573661,0.023950012468599322,0.3096705124675343,0.08644848980671895,0.02,0.02300894966542111,5,mafaulda,0.005,overhang_ball_fault
0.7994355765344656,0.07146923792821473,0.9215685888803387,0.03872742360793266,0.07410659750307665,0.02371966135621021,0.02,0.02300894966542111,5,mafaulda,0.005,overhang_cage_fault
0.8873170456925692,0.057570316139224316,0.9487151879498535,0.02999473026961257,0.10415011426065242,0.03422468243974112,0.02,0.02300894966542111,5,mafaulda,0.005,overhang_outer_race
0.6390857986013694,0.06897802299424331,0.8623402583901333,0.0383625302083503,0.08540403321181053,0.0575421764633702,0.02,0.02300894966542111,5,mafaulda,0.005,underhang_ball_fault
0.6950844433944052,0.06564417100822612,0.8893775848484765,0.03355824213580488,0.10829844959338109,0.036425794703302275,0.02,0.02300894966542111,5,mafaulda,0.005,underhang_cage_fault
0.6813275790207739,0.05982342134557104,0.8765679412810767,0.036256141030105174,0.05374739280285151,0.023745622753128606,0.02,0.02300894966542111,5,mafaulda,0.005,underhang_outer_race
0.5505634255845273,0.050329924531703894,0.8776895078507607,0.015539135807837078,0.06478411142585314,0.04786214179217228,0.02,0.02300894966542111,5,mafaulda,0.005,vertical_misalignment
0.49513148788927347,0.0877121068896228,0.8057531033478181,0.046230629305912034,0.08354064560696026,0.04999114000357687,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,horizontal_misalignment
0.8004522509955553,0.06583203107618849,0.9517492302935227,0.024470473885893212,0.09228858511571396,0.014995823487877091,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,imbalance
0.8561897337003066,0.05404555585844742,0.9373636550669066,0.027229797642603838,0.30138818884274277,0.08597895774938648,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,overhang_ball_fault
0.7852824086151349,0.08437885617686244,0.916754248132858,0.04417275989771106,0.091083613532645,0.027886104282459273,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,overhang_cage_fault
0.8702043256149976,0.0855815024028629,0.9425913844122572,0.0393380992112173,0.11724458774113453,0.040029438363591574,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,overhang_outer_race
0.6328821008223667,0.09562305444167245,0.8541653396730464,0.055128330153164824,0.08833589178863525,0.055516957804967286,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,underhang_ball_fault
0.693681919034314,0.08517076396576156,0.8849944920680404,0.04698402834431853,0.11711597197725114,0.03137886287255114,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,underhang_cage_fault
0.6761929287996186,0.08340719095536414,0.8689799020284259,0.053083562603756546,0.06487238521146414,0.030452843382569456,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,underhang_outer_race
0.5556054628001419,0.058444395637212196,0.880675592665472,0.019803102051854028,0.0802746943494709,0.057812087041188655,0.02261437908496732,0.02889007184163042,5,mafaulda,0.01,vertical_misalignment
0.5333735200465304,0.06603211462903091,0.8157154713466401,0.03679413850522296,0.09116978009025412,0.04811032922763683,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,horizontal_misalignment
0.8159741226063595,0.07157847397861915,0.9485866606061018,0.02732832308612535,0.11086700154288234,0.06841712749573378,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,imbalance
0.867511589966415,0.0364234835241303,0.9358997392369325,0.023991200238237167,0.36335680868324244,0.11071007210948887,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,overhang_ball_fault
0.826028111520736,0.05283424793864723,0.9303929639259214,0.024943809826148265,0.1867593802882201,0.09238388661731178,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,overhang_cage_fault
0.8798644464898334,0.04231361411828832,0.948472733650416,0.017654047789332463,0.2548730056621625,0.1412724699922795,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,overhang_outer_race
0.669950172354106,0.07263111654171332,0.8581173142732996,0.03832088330507171,0.0886737010033543,0.060963840729085436,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,underhang_ball_fault
0.7034820724931816,0.07225978574950082,0.8806428965100392,0.032469695682772214,0.11893455955437755,0.02785868791881517,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,underhang_cage_fault
0.7067129644061593,0.09193446507076936,0.8713791861138962,0.048318332549281445,0.06865702803603657,0.019427301208765724,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,underhang_outer_race
0.5730538128462571,0.0497051320070314,0.8817704408823113,0.01513334302312995,0.08011608801183392,0.052725516484497754,0.02261437908496732,0.02858907506290267,5,mafaulda,0.05,vertical_misalignment
0.5040412612506038,0.053946857969563014,0.802742837739647,0.028232870658472176,0.07729494015684836,0.056733409043677414,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,horizontal_misalignment
0.8727490313974846,0.028420620711024094,0.9689724895279147,0.010802491829131233,0.18054654943771023,0.1642348650750151,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,imbalance
0.821114854075254,0.022222776149957553,0.9193613815608896,0.014154640767367083,0.2864315028734386,0.1596820520157205,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,overhang_ball_fault
0.8451571640844998,0.06121942470438924,0.9442189097511902,0.02436139374513399,0.24944837535898995,0.23733216232356583,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,overhang_cage_fault
0.9018519685228845,0.029600984849107535,0.9619328833501679,0.013054040906418722,0.30993737396933957,0.24453316873383657,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,overhang_outer_race
0.6957045353494088,0.04624950374544275,0.8805380159629547,0.025532814051254214,0.06539699414202174,0.02569149730160032,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,underhang_ball_fault
0.7260222433323873,0.0435693229797962,0.8998504045833412,0.020048565792160567,0.14681485215312937,0.12092004811385833,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,underhang_cage_fault
0.732014367308485,0.072827590470059,0.8978165690166842,0.02991997463456126,0.10355776480849281,0.11343290462381787,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,underhang_outer_race
0.5167311353556745,0.044408796439558085,0.8585514910310803,0.016564992187903454,0.05959878917734178,0.03952035575448182,0.021307189542483663,0.02578429301588837,5,mafaulda,0.1,vertical_misalignment
