roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,fs_hz,label
0.6217318930588827,0.09752195935290722,0.8595557749352313,0.04177473371038455,0.1160212182484646,0.05442099137902412,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,horizontal_misalignment
0.8894021086764979,0.04538887951557828,0.9762750751810124,0.011969169536070677,0.5280876050359479,0.2514641084382718,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,imbalance
0.9802416652935684,0.020342420677496607,0.991988254316283,0.007863612483837044,0.845070521582722,0.04594542737307694,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,overhang_ball_fault
0.8736779048215946,0.07905024321673335,0.9512283430915964,0.03705169537631987,0.4528716400466467,0.21945211696827105,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,overhang_cage_fault
0.9035080226830363,0.07354255156243192,0.9683462247615836,0.02717347597314291,0.6229698949603947,0.19964697061383568,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,overhang_outer_race
0.8676110840397856,0.07058574341898138,0.9556288209396051,0.02396364535976931,0.372054805801584,0.06937098135124922,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,underhang_ball_fault
0.8075338350552336,0.08751380883685723,0.9318676300596106,0.036810080172886304,0.3061521057414815,0.1692416104192246,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,underhang_cage_fault
0.8121309775750376,0.07844353055960927,0.9273650642506197,0.039614611971151174,0.28103789398904716,0.15312785801232562,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,underhang_outer_race
0.694725448177771,0.0972957834495463,0.9234202685445521,0.02532018520760939,0.1297590493269665,0.059464638626661646,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,48000.0,vertical_misalignment
0.6819437445164088,0.06557093969644152,0.8863866129270364,0.03375086597778542,0.4156799095137833,0.07339001112055059,0.10862745098039217,0.08268606759728049,5,mafaulda,ocsvm,48000.0,horizontal_misalignment
0.9151401724035096,0.026103315546729036,0.9838276818709643,0.009117188180124193,0.904904372484749,0.024166365422042077,0.10862745098039217,0.08268606759728049,5,mafaulda,ocsvm,48000.0,imbalance
0.993784167261676,0.006514367469018561,0.9974418173606203,0.0027366333528697755,0.9772131398760866,0.013327917069573373,0.10862745098039217,0.08268606759728049,5,mafaulda,ocsvm,48000.0,overhang_ball_fault
