roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,label
0.647841727125858,0.2768975380971776,0.8490521981740329,0.1475513615779317,0.4283206787486055,0.11540406304874834,0.11486486486486487,0.22972972972972977,4,cwru_48k,mahalanobis,ball
0.6632714915206966,0.1818602178749491,0.8597645376654304,0.08894885561454319,0.4455570086422929,0.15757612987195593,0.11486486486486487,0.22972972972972977,4,cwru_48k,mahalanobis,inner_race
0.7227578070014562,0.2073142671678442,0.9436615296128326,0.053467640929960904,0.5298661611639166,0.04146729366767815,0.11486486486486487,0.22972972972972977,4,cwru_48k,mahalanobis,outer_race
0.6739977637669032,0.238484085602691,0.8569265314116123,0.12840297038707674,0.20320644080416975,0.12209180954605844,0.013513513513513514,0.02702702702702703,4,cwru_48k,isolation_forest,ball
0.6761619359492969,0.11552154246604869,0.8511401814000913,0.054992433835092516,0.1164452193349538,0.07572089574837117,0.013513513513513514,0.02702702702702703,4,cwru_48k,isolation_forest,inner_race
0.7060831589574137,0.1604465243086565,0.9371926067888382,0.04791260941670729,0.18912980680948074,0.07582790196435041,0.013513513513513514,0.02702702702702703,4,cwru_48k,isolation_forest,outer_race
0.7430249498981445,0.2311685927740924,0.8941803701918787,0.1292004750682527,0.8340295084114668,0.087594688219885,0.29650238473767887,0.38222318810851813,4,cwru_48k,ocsvm,ball
0.8032272940361176,0.15083818180660452,0.9177931862586459,0.06607006128542933,0.8596342056091668,0.08835860998547872,0.29650238473767887,0.38222318810851813,4,cwru_48k,ocsvm,inner_race
0.7730822475404519,0.14412554367126765,0.9586723271511071,0.03804132644521956,0.8539276708399604,0.013197437319101514,0.29650238473767887,0.38222318810851813,4,cwru_48k,ocsvm,outer_race
0.7562736881911067,0.13240353892094125,0.906399066579378,0.07219421046816314,0.5218893967358921,0.1316988649366192,0.07670906200317965,0.09326710563798145,4,cwru_48k,pca_recon,ball
0.8572822334249203,0.09602469530238752,0.936438790183009,0.042742995078245596,0.5862817610524033,0.1950836315845843,0.07670906200317965,0.09326710563798145,4,cwru_48k,pca_recon,inner_race
