roc_auc,pr_auc,f1,far,n_norm,n_anom,dataset,axis,split,n_train,median_f0_hz
0.7979848565887665,0.9924095941267153,0.06043890154694807,0.01647058823529412,425,16167,mafaulda,order,train_low_test_high,408,35.232
0.4363845742416469,0.9714057162882674,0.604704581224212,0.5735294117647058,408,16167,mafaulda,order,train_high_test_low,425,35.232
0.738234466174668,0.9900322483392867,0.10015272556390978,0.010804321728691477,833,32334,mafaulda,order,same_speed_reference,833,35.232
0.668794894465487,0.9893223964304112,0.9770968835732561,1.0,425,16167,mafaulda,hz_fixed,train_low_test_high,408,35.232
0.5118630058567621,0.9798825829843522,0.7052498418722327,0.5122549019607843,408,16167,mafaulda,hz_fixed,train_high_test_low,425,35.232
0.6906916041606845,0.989365680688731,0.49871190846427,0.010804321728691477,833,32334,mafaulda,hz_fixed,same_speed_reference,833,35.232
0.7327833456865716,0.9593771905056805,0.6698935140367861,0.054945054945054944,91,682,cwru_48k,order,train_low_test_high,37,29.197
0.5392285489372868,0.9730437138345107,0.686151704940849,0.4594594594594595,37,927,cwru_48k,order,train_high_test_low,91,29.197
0.7808615599751398,0.9781917851898554,0.5240494732020156,0.015625,128,1609,cwru_48k,order,same_speed_reference,128,29.197
0.41321581644162286,0.8853809689036698,0.7059814658803707,0.945054945054945,91,682,cwru_48k,hz_fixed,train_low_test_high,37,29.197
0.6243913816729351,0.9771484498753843,0.4692370795734208,0.16216216216216217,37,927,cwru_48k,hz_fixed,train_high_test_low,91,29.197
0.7326804303915475,0.9717680364808563,0.4472289156626506,0.015625,128,1609,cwru_48k,hz_fixed,same_speed_reference,128,29.197
0.5036998912367929,0.9443989124786871,0.464722483537159,0.1796875,128,1609,train_mafaulda_test_cwru,order,cross_machine,833,
0.45371737103791177,0.9175670138547896,0.0037220843672456576,0.0,128,1609,train_mafaulda_test_cwru,hz_fixed,cross_machine,833,
