roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,fs_hz,mode,exposure_sec,shutter,exposure_duty,n_windows
0.7690911123104373,0.09142726370335436,0.9908939397806508,0.004464379144195838,0.18941370053989268,0.028187597709758105,0.019738562091503268,0.01694563404601346,5,mafaulda,480.0,ideal,,none,0.0,33167
0.7734579966729288,0.06985449744661072,0.9915985813292808,0.003232619525106525,0.1823858562590525,0.028558792837030233,0.021045751633986927,0.019511747092334945,5,mafaulda,480.0,boxcar,0.0041666667,1/240 s,1.0,33167
0.7721509642347033,0.07108317487396423,0.991533945216738,0.0032822921499706336,0.18249347891875,0.02776498468533403,0.021045751633986927,0.019511747092334945,5,mafaulda,480.0,boxcar,0.002,1/500 s,0.96,33167
0.7692016779294324,0.07947329652821444,0.99106444964458,0.003548781095386615,0.19593576165979654,0.012198382509599471,0.019869281045751634,0.020369729581104248,5,mafaulda,480.0,boxcar,0.001,1/1000 s,0.48,33167
0.6946355110923695,0.0692153836535752,0.9872671385821427,0.004433588646607109,0.11087077570359156,0.022634609530093414,0.020130718954248367,0.026124993242180344,5,mafaulda,240.0,ideal,,none,0.0,33167
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,240.0,boxcar,0.0041666667,1/240 s,1.0,33167
0.6979272023201546,0.0710641880647219,0.9874662049740592,0.004434469369262807,0.1184940518349203,0.014160035277377903,0.021307189542483663,0.02611763397383985,5,mafaulda,240.0,boxcar,0.002,1/500 s,0.48,33167
0.6984082983312501,0.0707785031363662,0.9875038458340362,0.004323954603071659,0.12508518528231796,0.015367430770109578,0.021307189542483663,0.02611763397383985,5,mafaulda,240.0,boxcar,0.001,1/1000 s,0.24,33167
0.713897425621958,0.08561483512675443,0.9879834913535612,0.005789421534387331,0.11113617368019042,0.021724542462963202,0.029281045751633983,0.046214742984634266,5,mafaulda,120.0,ideal,,none,0.0,33167
0.7029769826893822,0.07597814429903407,0.9876252034185841,0.004870851147743611,0.11102563352224706,0.028960590986682726,0.026666666666666665,0.04086248165208066,5,mafaulda,120.0,boxcar,0.0041666667,1/240 s,0.5,33167
0.6976184621269944,0.0785130580424058,0.9871603158048898,0.005045633099200863,0.10345026159893622,0.03348370038096826,0.03032679738562092,0.04334126841059245,5,mafaulda,120.0,boxcar,0.002,1/500 s,0.24,33167
0.6965010580557005,0.07916861625144243,0.9870618588735056,0.005081846288185147,0.10328007330855575,0.03341371821231216,0.03032679738562092,0.04334126841059245,5,mafaulda,120.0,boxcar,0.001,1/1000 s,0.12,33167
0.7494926959183557,0.0664249942095397,0.9739188341406682,0.010683599176724907,0.41279383259483116,0.023935225048198214,0.013513513513513514,0.02702702702702703,4,cwru_48k,480.0,ideal,,none,0.0,1737
0.738557460217752,0.05637587605322573,0.9730112777454959,0.010064281459967765,0.4252343025242499,0.024766926104238824,0.02821939586645469,0.03264307563054593,4,cwru_48k,480.0,boxcar,0.0041666667,1/240 s,1.0,1737
0.7364323539793498,0.05527864192818432,0.9728023298344675,0.010059957739965082,0.42456605530519764,0.025548592087784993,0.02821939586645469,0.03264307563054593,4,cwru_48k,480.0,boxcar,0.002,1/500 s,0.96,1737
0.6857806409755761,0.10498139598737292,0.9667628773226795,0.016056240002284828,0.45309272466958916,0.0419813901673166,0.05524642289348172,0.07648116430307626,4,cwru_48k,480.0,boxcar,0.001,1/1000 s,0.48,1737
0.7578910876615115,0.061562285737047834,0.9747049757102842,0.010104106751517171,0.42286763477629885,0.02683595510050639,0.013513513513513514,0.02702702702702703,4,cwru_48k,240.0,ideal,,none,0.0,1737
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,240.0,boxcar,0.0041666667,1/240 s,1.0,1737
0.653576045278293,0.24536077138925924,0.9579233070267938,0.041463896819746944,0.4727100767897618,0.0231679402419156,0.14864864864864866,0.2972972972972973,4,cwru_48k,240.0,boxcar,0.002,1/500 s,0.48,1737
0.6455417652362324,0.246796035002729,0.956880366324884,0.04205666891885043,0.4470356959553389,0.019381909837865023,0.14864864864864866,0.2972972972972973,4,cwru_48k,240.0,boxcar,0.001,1/1000 s,0.24,1737
0.7267050834858515,0.05276748133261711,0.9721774861803345,0.010543042704702429,0.44670592889322525,0.05570817356970401,0.013513513513513514,0.02702702702702703,4,cwru_48k,120.0,ideal,,none,0.0,1737
0.7236327041744743,0.05110974326588401,0.970846481727967,0.01112444657984918,0.3893160239656738,0.03786071084898339,0.013513513513513514,0.02702702702702703,4,cwru_48k,120.0,boxcar,0.0041666667,1/240 s,0.5,1737
0.7292524531457457,0.07054524533636779,0.9710077729417574,0.01316800988954334,0.4082622195043905,0.05119664457865302,0.006756756756756757,0.013513513513513514,4,cwru_48k,120.0,boxcar,0.002,1/500 s,0.24,1737
0.7302331142537777,0.07989014631461204,0.9711619427900335,0.014048749965237877,0.4236612165102297,0.06887739369895854,0.006756756756756757,0.013513513513513514,4,cwru_48k,120.0,boxcar,0.001,1/1000 s,0.12,1737
