roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,noise_type,snr_db,label
0.647841727125858,0.2768975380971776,0.8490521981740329,0.1475513615779317,0.4283206787486055,0.11540406304874834,0.11486486486486487,0.22972972972972977,4,cwru_48k,none,,ball
0.6632714915206966,0.1818602178749491,0.8597645376654304,0.08894885561454319,0.4455570086422929,0.15757612987195593,0.11486486486486487,0.22972972972972977,4,cwru_48k,none,,inner_race
0.7227578070014562,0.2073142671678442,0.9436615296128326,0.053467640929960904,0.5298661611639166,0.04146729366767815,0.11486486486486487,0.22972972972972977,4,cwru_48k,none,,outer_race
0.588829217677826,0.062409660481287765,0.8231392435505847,0.05400812028464982,0.20046142505106174,0.053745453203450845,0.02027027027027027,0.013513513513513514,4,cwru_48k,white,30,ball
0.5969536772398457,0.06101394653145709,0.8251840062963557,0.05318835513466806,0.2872184773141834,0.15365763171221072,0.02027027027027027,0.013513513513513514,4,cwru_48k,white,30,inner_race
0.5962668770069367,0.06365762030888007,0.9092293881023406,0.0356006277549039,0.2032071593641553,0.05414146014074543,0.02027027027027027,0.013513513513513514,4,cwru_48k,white,30,outer_race
0.5230518496209622,0.052970123015200585,0.7835404314697837,0.04336005445989521,0.10543492337578243,0.05831742546531105,0.04173290937996821,0.035582142573612634,4,cwru_48k,white,20,ball
0.5501426402161697,0.08227445137109611,0.7909239343933685,0.07954838747244883,0.17082703733468724,0.21988356595056718,0.04173290937996821,0.035582142573612634,4,cwru_48k,white,20,inner_race
0.5304917628825588,0.03821561106486718,0.889362050266012,0.03010975405252263,0.11638722893964508,0.05606446221767973,0.04173290937996821,0.035582142573612634,4,cwru_48k,white,20,outer_race
0.5438836942341276,0.024476493337383495,0.8066301617260683,0.025271616548639103,0.17319467520002277,0.07085151863691053,0.049682034976152624,0.05039812497153251,4,cwru_48k,white,10,ball
0.5523338191263469,0.07952013543855167,0.798166220431719,0.06577093527194051,0.2092507147786651,0.20167182543872916,0.049682034976152624,0.05039812497153251,4,cwru_48k,white,10,inner_race
0.5572162201300871,0.04717501159384874,0.8998801507161195,0.033081639914750445,0.17511266111926907,0.03925219674299412,0.049682034976152624,0.05039812497153251,4,cwru_48k,white,10,outer_race
0.5274735909826261,0.034023543067705865,0.7819153304892255,0.04545560313485817,0.09407121134101618,0.05551753788875365,0.02027027027027027,0.02587640831773887,4,cwru_48k,white,5,ball
0.5745236180947627,0.05339295752445127,0.8017372486504745,0.05765183826117434,0.1756137418830051,0.15267165708931585,0.02027027027027027,0.02587640831773887,4,cwru_48k,white,5,inner_race
0.5129196865511708,0.0528220348427684,0.8787550637941463,0.043918198087833135,0.08009090710897422,0.02641649092090765,0.02027027027027027,0.02587640831773887,4,cwru_48k,white,5,outer_race
0.4763741425556513,0.012089119344124596,0.7627326457758533,0.06826224420550853,0.09541465826226671,0.08857461011985183,0.03497615262321145,0.02719793835793607,4,cwru_48k,white,0,ball
0.49978585227989036,0.10844386242275764,0.7819248076153313,0.05038173187065027,0.16665154725218284,0.054139950886206226,0.03497615262321145,0.02719793835793607,4,cwru_48k,white,0,inner_race
0.47031223784032467,0.054362956481861256,0.8774556855864531,0.02820593140484364,0.11601381492007341,0.06302987157963148,0.03497615262321145,0.02719793835793607,4,cwru_48k,white,0,outer_race
0.6526026528377679,0.28086749699618907,0.852156142876425,0.14699605442366342,0.46418017531200245,0.11821939108774189,0.13513513513513514,0.23458047867191958,4,cwru_48k,shake,30,ball
0.6682570770905429,0.1818840081823963,0.8634269169724473,0.08760425737019355,0.4653668805132318,0.18637685203392568,0.13513513513513514,0.23458047867191958,4,cwru_48k,shake,30,inner_race
0.7226768269665778,0.20345690898535973,0.9442456798814602,0.05125583129943975,0.5412284160236608,0.032580000347734527,0.13513513513513514,0.23458047867191958,4,cwru_48k,shake,30,outer_race
0.6195459425267527,0.30236148873872326,0.8379862048063836,0.15686209855498778,0.39522869351245304,0.1326980345580535,0.14308426073131955,0.21259713119952262,4,cwru_48k,shake,20,ball
0.6359746882401891,0.19495568388631404,0.8456181811559449,0.09492208846028113,0.4182371248242704,0.2010705259135459,0.14308426073131955,0.21259713119952262,4,cwru_48k,shake,20,inner_race
0.7024458602189212,0.18532644090827036,0.9419750505578804,0.04581176364461057,0.48784763805721887,0.05741974979081669,0.14308426073131955,0.21259713119952262,4,cwru_48k,shake,20,outer_race
0.6296683307812084,0.31876593364094596,0.8388070149020522,0.16649479461892727,0.4068367043733742,0.14130506073728885,0.19038155802861687,0.30587886863724323,4,cwru_48k,shake,10,ball
0.623104454036489,0.19742759352356423,0.8427175590018346,0.09321772424817303,0.43969851098334073,0.20616862575610592,0.19038155802861687,0.30587886863724323,4,cwru_48k,shake,10,inner_race
0.7101270389155527,0.1920645871749662,0.9433726418305195,0.046400727198075496,0.5093518397956917,0.05837598789407849,0.19038155802861687,0.30587886863724323,4,cwru_48k,shake,10,outer_race
0.6340845888865325,0.3244798592222474,0.8460754596074066,0.17220943795337962,0.4819915293326873,0.16435796695331878,0.1554054054054054,0.2750699935274239,4,cwru_48k,shake,5,ball
0.624651399442735,0.2306020600655512,0.8433295162739403,0.1197365396080296,0.4272312660208396,0.2014868076940495,0.1554054054054054,0.2750699935274239,4,cwru_48k,shake,5,inner_race
0.7043527445159253,0.20497058231349446,0.9415946868591933,0.047967870387517875,0.5665912503483699,0.09648632527270407,0.1554054054054054,0.2750699935274239,4,cwru_48k,shake,5,outer_race
0.6359858473374226,0.3278204106091189,0.8386602859462103,0.17389641931872127,0.3593963817945486,0.2545673993720937,0.08108108108108109,0.14470611174963074,4,cwru_48k,shake,0,ball
0.64391899368052,0.1412111073599268,0.8545721516122613,0.06778720906685327,0.3548522863038992,0.1751545607137142,0.08108108108108109,0.14470611174963074,4,cwru_48k,shake,0,inner_race
0.7200746986191847,0.1597384451925389,0.9461832578117277,0.03843442934692865,0.44851805231897557,0.1017425126011695,0.08108108108108109,0.14470611174963074,4,cwru_48k,shake,0,outer_race
0.5062684224016404,0.08640302006744564,0.8117023740376392,0.04533646551028638,0.08191984985993714,0.04988391874842253,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,horizontal_misalignment
0.8210750448936681,0.04817973794734868,0.9570760326202589,0.02038265916955699,0.09066857014134463,0.020253987570690305,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,imbalance
0.8772924231420964,0.04884704697987664,0.9449585779806583,0.0252585138395081,0.32902696309802343,0.08569836534723485,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,overhang_ball_fault
0.7888668599395243,0.0713568477274446,0.918862373580534,0.03983377675096611,0.0735293522660531,0.02133229175107559,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,overhang_cage_fault
0.8885877901212084,0.05913778948365227,0.9484556112718521,0.03196764158907493,0.10471726051828337,0.032448591222337786,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,overhang_outer_race
0.652938491213851,0.0821751154984472,0.8679593072608812,0.04162778607555771,0.08904582906308532,0.053296607390780265,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,underhang_ball_fault
0.7067884055973657,0.0715082034998907,0.893465866550206,0.035616983872673286,0.11281333188913045,0.030980682689296813,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,underhang_cage_fault
0.6984840665348162,0.07752114215626757,0.8823875746093875,0.04169985015365836,0.0620501965855695,0.025570922266736504,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,underhang_outer_race
0.5575257813829485,0.05835451364449314,0.8816511035087483,0.02067730701525789,0.06895543950137209,0.04357472998057608,0.021176470588235293,0.02300894966542111,5,mafaulda,none,,vertical_misalignment
0.508531309456915,0.0928297322364464,0.8120676143259871,0.0489014356417259,0.08291414985058196,0.05290128307496855,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,horizontal_misalignment
0.8201318927017424,0.06398646772818836,0.9564454897595993,0.023208627075817192,0.08881145486329689,0.013947239523684013,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,imbalance
0.8593477986692134,0.032741837666834854,0.9393635123088178,0.0187381803119762,0.2719417888642184,0.14989669365965608,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,overhang_ball_fault
0.794239588340845,0.08766352167306683,0.9215312503953212,0.045934601932884046,0.08389331548825466,0.02361767751795286,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,overhang_cage_fault
0.8671203273935018,0.08648973185191461,0.9416734696429003,0.04213094609721537,0.09317252736072984,0.020037068294362997,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,overhang_outer_race
