roc_auc,pr_auc,f1,far,n_norm,n_anom,condition,fs_hz,mode,label,subset,n_fault_windows
0.6188473597859567,0.8565697622048479,0.11912751677852348,0.01680672268907563,833,3349,full_48kHz,48000.0,ideal,horizontal_misalignment,all_severities,3349
0.8982823654103931,0.9798062458871695,0.5430038510911425,0.01680672268907563,833,5661,full_48kHz,48000.0,ideal,imbalance,all_severities,5661
0.9837824352583455,0.9934314266662407,0.8449593295538576,0.01680672268907563,833,2329,full_48kHz,48000.0,ideal,overhang_ball_fault,all_severities,2329
0.9983152925035561,0.9983229793220967,0.9825825825825826,0.01680672268907563,833,833,full_48kHz,48000.0,ideal,overhang_ball_fault,added_mass_0g_only,833
0.9756902761104442,0.983268781126315,0.744804655029094,0.01680672268907563,833,1496,full_48kHz,48000.0,ideal,overhang_ball_fault,added_mass_above_0g,1496
0.8809556363221133,0.9583596749689194,0.4714285714285714,0.01680672268907563,833,3196,full_48kHz,48000.0,ideal,overhang_cage_fault,all_severities,3196
0.7933444686397968,0.7485182230924974,0.11777777777777777,0.01680672268907563,833,833,full_48kHz,48000.0,ideal,overhang_cage_fault,added_mass_0g_only,833
0.9118401486705559,0.9584549949350677,0.5654797827398914,0.01680672268907563,833,2363,full_48kHz,48000.0,ideal,overhang_cage_fault,added_mass_above_0g,2363
0.9117977604057894,0.9736443663637377,0.6314218716691536,0.01680672268907563,833,3196,full_48kHz,48000.0,ideal,overhang_outer_race,all_severities,3196
0.9267923255736868,0.9311211265028572,0.7186081694402421,0.01680672268907563,833,833,full_48kHz,48000.0,ideal,overhang_outer_race,added_mass_0g_only,833
0.9065119064976815,0.960952027356982,0.5947383978717115,0.01680672268907563,833,2363,full_48kHz,48000.0,ideal,overhang_outer_race,added_mass_above_0g,2363
0.8703769933020647,0.9564093442007815,0.3853584138281647,0.01680672268907563,833,3162,full_48kHz,48000.0,ideal,underhang_ball_fault,all_severities,3162
0.8834828048866606,0.8871597805701606,0.5996758508914101,0.01680672268907563,833,850,full_48kHz,48000.0,ideal,underhang_ball_fault,added_mass_0g_only,850
0.8655586802194927,0.935874308151886,0.28592483419307296,0.01680672268907563,833,2312,full_48kHz,48000.0,ideal,underhang_ball_fault,added_mass_above_0g,2312
0.8105720385776338,0.9358978536304179,0.3202511773940345,0.01680672268907563,833,3196,full_48kHz,48000.0,ideal,underhang_cage_fault,all_severities,3196
0.6484063012960286,0.6290387030799831,0.16268980477223427,0.01680672268907563,833,833,full_48kHz,48000.0,ideal,underhang_cage_fault,added_mass_0g_only,833
0.8677383776193507,0.938882909571866,0.3685655456417296,0.01680672268907563,833,2363,full_48kHz,48000.0,ideal,underhang_cage_fault,added_mass_above_0g,2363
0.8195871699063256,0.934504469977485,0.3011624763449581,0.01680672268907563,833,3128,full_48kHz,48000.0,ideal,underhang_outer_race,all_severities,3128
0.6736178264823336,0.6234109464899763,0.0771850170261067,0.01680672268907563,833,833,full_48kHz,48000.0,ideal,underhang_outer_race,added_mass_0g_only,833
0.8725686352972561,0.9370797325376684,0.3693502824858757,0.01680672268907563,833,2295,full_48kHz,48000.0,ideal,underhang_outer_race,added_mass_above_0g,2295
0.6915683216808318,0.9205497236990661,0.13248407643312102,0.01680672268907563,833,5117,full_48kHz,48000.0,ideal,vertical_misalignment,all_severities,5117
