roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,variant,dropped,n_features
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,all_dimensionless,,13
0.7133188720493671,0.22970773678587736,0.9656068090743984,0.03614154851138222,0.5301488391669629,0.0976584879543028,0.1363275039745628,0.1979715326774606,4,cwru_48k,drop_bands,"E_sub,E_1x,E_mid,E_hi",9
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,drop_blade,rbp,12
0.7110835771194517,0.033986970721910155,0.971038195065284,0.0068738286652591804,0.43599747071571815,0.033114610460597806,0.02821939586645469,0.03264307563054593,4,cwru_48k,drop_orders,"r1,r2,r3,r05",9
0.667221039321518,0.22381973842442648,0.9601677649878948,0.036578070915289765,0.45945194990972815,0.040410921687205094,0.12957074721780604,0.22166708398024357,4,cwru_48k,drop_shape,"harm,centroid",11
0.7092778704894319,0.23549394119879094,0.9656588483332949,0.03559759576106079,0.509650140654625,0.03664532400365426,0.10810810810810811,0.21621621621621623,4,cwru_48k,drop_time,"crest,kurt",11
0.7121483335592155,0.04039453873713473,0.9698216991124948,0.008914396771044338,0.32903230296127667,0.07200506847519275,0.006756756756756757,0.013513513513513514,4,cwru_48k,only_bands,,4
0.5,0.0,0.9278700405109217,0.01432195235379023,0.0,0.0,0.0,0.0,4,cwru_48k,only_blade,,1
0.7255413049959276,0.2351000150838818,0.9672128801362985,0.03573791360767738,0.5022014264133395,0.07567247493403073,0.10810810810810811,0.21621621621621623,4,cwru_48k,only_orders,,4
0.6997208673574575,0.05751798828695937,0.9697015070143455,0.008361721190491375,0.3456961353004405,0.13205519023135706,0.013513513513513514,0.015604061329449347,4,cwru_48k,only_shape,,2
0.4383637237274898,0.00423688556819159,0.9132082885570573,0.014468883668832025,0.03351901059863422,0.013864375849317176,0.021462639109697933,0.027976706335591968,4,cwru_48k,only_time,,2
0.7053142964475096,0.2426809500593116,0.9684856742604366,0.03374910611310402,0.7348817544775899,0.12275848654238358,0.3529411764705882,0.47303286595352234,4,cwru_48k,raw_units_only,,8
0.8513483755830403,0.07574292646283712,0.9858354498739146,0.009077626085445654,0.639343755947786,0.10503685708888913,0.04054054054054054,0.08108108108108109,4,cwru_48k,dimensionless_plus_raw,,21
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,all_dimensionless,,13
0.7037841502585834,0.05117524116962998,0.9885834754727341,0.0030129581460817114,0.10958744632134017,0.020028399144669556,0.0196078431372549,0.01737259328104838,5,mafaulda,drop_bands,"E_sub,E_1x,E_mid,E_hi",9
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,drop_blade,rbp,12
0.7535442472421823,0.10048316682619617,0.9894141042675407,0.006072715148242175,0.09517588336069922,0.020563926399272375,0.026405228758169936,0.03403277450778914,5,mafaulda,drop_orders,"r1,r2,r3,r05",9
0.6878944991339696,0.05459152991817881,0.9869403906669685,0.003661548307018332,0.08293455419481847,0.012907880757058881,0.02,0.02300894966542111,5,mafaulda,drop_shape,"harm,centroid",11
0.6878651072958143,0.06780400723068783,0.9867506152690464,0.004901265988991303,0.08365971238949366,0.019419361147997246,0.022745098039215685,0.03340822037722974,5,mafaulda,drop_time,"crest,kurt",11
0.7487179969836182,0.09839364782169659,0.9896454243786821,0.00712551714144274,0.03204286749882021,0.017037153142388847,0.020784313725490194,0.0432618521428129,5,mafaulda,only_bands,,4
0.5,0.0,0.9748892774908645,0.000988543964518995,0.0,0.0,0.0,0.0,5,mafaulda,only_blade,,1
0.5992130016556712,0.06952922989430428,0.9812933975691827,0.005452765259781571,0.07897248809965078,0.015191575929034392,0.021176470588235293,0.02550527457491623,5,mafaulda,only_orders,,4
0.7499625434293289,0.0770283639168328,0.9906364594507118,0.0056666580335920985,0.44573181292649255,0.19564563591633297,0.04,0.08619202830856597,5,mafaulda,only_shape,,2
0.6760696614842574,0.0657650282483842,0.9855511875846936,0.002240892679768523,0.05821425126698376,0.0034769986920622745,0.011764705882352941,0.011764705882352941,5,mafaulda,only_time,,2
0.7597913079160296,0.06500187486942319,0.9924707759525789,0.0020825439957857924,0.589660306699627,0.029005798903639614,0.01764705882352941,0.02495670992423109,5,mafaulda,raw_units_only,,8
0.765641620297435,0.053698248767865005,0.9925755272723947,0.0018798938180892009,0.5735902963250558,0.025284125745887377,0.02222222222222222,0.021138511933066966,5,mafaulda,dimensionless_plus_raw,,21
