roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,detector,fs_hz,mode,n_windows,n_files,elapsed_s
0.9996742367833209,0.000651526433358196,0.9999825611939053,3.487761218945451e-05,0.9838565810612357,0.01929319151991588,0.49324324324324326,0.5696551056312972,4,cwru_48k,acceleration,mahalanobis,48000.0,ideal,1737,56,5.4
0.749683926518258,0.06254164793514733,0.9740211540004486,0.010442197195462646,0.40960998130150394,0.016086889344155076,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,mahalanobis,48000.0,ideal,1737,56,15.0
0.9064414105552503,0.014038809966344948,0.997264093176282,0.0006559863414394708,0.7826743800535819,0.030746515272320495,0.02,0.031015120768150748,5,mafaulda,acceleration,mahalanobis,48000.0,ideal,33167,1951,303.1
0.8195325750082431,0.0688735898328484,0.9936351544804694,0.0029367301126566967,0.42470653304280515,0.1184953751562103,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,mahalanobis,48000.0,ideal,33167,1951,170.8
